Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
199	sub-0	0	dev[0]=net(0,0-10)	InInterests	0	0
199	sub-0	0	dev[0]=net(0,0-10)	OutInterests	79993	2625.88
199	sub-0	0	dev[0]=net(0,0-10)	InNacks	0	0
199	sub-0	0	dev[0]=net(0,0-10)	OutNacks	0	0
199	sub-0	0	dev[0]=net(0,0-10)	InData	78784	82062.7
199	sub-0	0	dev[0]=net(0,0-10)	OutData	0	0
199	sub-0	1	dev=local(1)	InInterests	79993	2625.88
199	sub-0	1	dev=local(1)	OutInterests	0	0
199	sub-0	1	dev=local(1)	InNacks	0	0
199	sub-0	1	dev=local(1)	OutNacks	0	0
199	sub-0	1	dev=local(1)	InData	0	0
199	sub-0	1	dev=local(1)	OutData	78784	82062.7
199	sub-1	0	dev[1]=net(0,1-10)	InInterests	0	0
199	sub-1	0	dev[1]=net(0,1-10)	OutInterests	86924	2836.53
199	sub-1	0	dev[1]=net(0,1-10)	InNacks	0	0
199	sub-1	0	dev[1]=net(0,1-10)	OutNacks	0	0
199	sub-1	0	dev[1]=net(0,1-10)	InData	85669	89217.6
199	sub-1	0	dev[1]=net(0,1-10)	OutData	0	0
199	sub-1	1	dev=local(1)	InInterests	86924	2836.53
199	sub-1	1	dev=local(1)	OutInterests	0	0
199	sub-1	1	dev=local(1)	InNacks	0	0
199	sub-1	1	dev=local(1)	OutNacks	0	0
199	sub-1	1	dev=local(1)	InData	0	0
199	sub-1	1	dev=local(1)	OutData	85669	89217.6
199	sub-2	0	dev[2]=net(0,2-11)	InInterests	0	0
199	sub-2	0	dev[2]=net(0,2-11)	OutInterests	76821	2530.95
199	sub-2	0	dev[2]=net(0,2-11)	InNacks	0	0
199	sub-2	0	dev[2]=net(0,2-11)	OutNacks	0	0
199	sub-2	0	dev[2]=net(0,2-11)	InData	75661	78818.7
199	sub-2	0	dev[2]=net(0,2-11)	OutData	0	0
199	sub-2	1	dev=local(1)	InInterests	76822	2530.98
199	sub-2	1	dev=local(1)	OutInterests	0	0
199	sub-2	1	dev=local(1)	InNacks	0	0
199	sub-2	1	dev=local(1)	OutNacks	0	0
199	sub-2	1	dev=local(1)	InData	0	0
199	sub-2	1	dev=local(1)	OutData	75654	78811.4
199	sub-3	0	dev[3]=net(0,3-11)	InInterests	0	0
199	sub-3	0	dev[3]=net(0,3-11)	OutInterests	89241	2928.87
199	sub-3	0	dev[3]=net(0,3-11)	InNacks	0	0
199	sub-3	0	dev[3]=net(0,3-11)	OutNacks	0	0
199	sub-3	0	dev[3]=net(0,3-11)	InData	88032	91695
199	sub-3	0	dev[3]=net(0,3-11)	OutData	0	0
199	sub-3	1	dev=local(1)	InInterests	89241	2928.87
199	sub-3	1	dev=local(1)	OutInterests	0	0
199	sub-3	1	dev=local(1)	InNacks	0	0
199	sub-3	1	dev=local(1)	OutNacks	0	0
199	sub-3	1	dev=local(1)	InData	0	0
199	sub-3	1	dev=local(1)	OutData	88032	91695
199	sub-4	0	dev[4]=net(0,4-12)	InInterests	0	0
199	sub-4	0	dev[4]=net(0,4-12)	OutInterests	87380	2860.84
199	sub-4	0	dev[4]=net(0,4-12)	InNacks	0	0
199	sub-4	0	dev[4]=net(0,4-12)	OutNacks	0	0
199	sub-4	0	dev[4]=net(0,4-12)	InData	86143	89720.5
199	sub-4	0	dev[4]=net(0,4-12)	OutData	0	0
199	sub-4	1	dev=local(1)	InInterests	87380	2860.84
199	sub-4	1	dev=local(1)	OutInterests	0	0
199	sub-4	1	dev=local(1)	InNacks	0	0
199	sub-4	1	dev=local(1)	OutNacks	0	0
199	sub-4	1	dev=local(1)	InData	0	0
199	sub-4	1	dev=local(1)	OutData	86143	89720.5
199	sub-5	0	dev[5]=net(0,5-12)	InInterests	0	0
199	sub-5	0	dev[5]=net(0,5-12)	OutInterests	77377	2524.57
199	sub-5	0	dev[5]=net(0,5-12)	InNacks	0	0
199	sub-5	0	dev[5]=net(0,5-12)	OutNacks	0	0
199	sub-5	0	dev[5]=net(0,5-12)	InData	76185	79340.3
199	sub-5	0	dev[5]=net(0,5-12)	OutData	0	0
