Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
199	sub-1	0	dev[0]=net(0,0-6)	InInterests	0	0
199	sub-1	0	dev[0]=net(0,0-6)	OutInterests	56428	1853.6
199	sub-1	0	dev[0]=net(0,0-6)	InNacks	0	0
199	sub-1	0	dev[0]=net(0,0-6)	OutNacks	0	0
199	sub-1	0	dev[0]=net(0,0-6)	InData	55699	62071.7
199	sub-1	0	dev[0]=net(0,0-6)	OutData	0	0
199	sub-1	1	dev[0]=net(1,0-7)	InInterests	0	0
199	sub-1	1	dev[0]=net(1,0-7)	OutInterests	62330	2048.43
199	sub-1	1	dev[0]=net(1,0-7)	InNacks	0	0
199	sub-1	1	dev[0]=net(1,0-7)	OutNacks	0	0
199	sub-1	1	dev[0]=net(1,0-7)	InData	61536	68853
199	sub-1	1	dev[0]=net(1,0-7)	OutData	0	0
199	sub-1	2	dev[0]=net(2,0-8)	InInterests	0	0
199	sub-1	2	dev[0]=net(2,0-8)	OutInterests	80784	2649.05
199	sub-1	2	dev[0]=net(2,0-8)	InNacks	0	0
199	sub-1	2	dev[0]=net(2,0-8)	OutNacks	0	0
199	sub-1	2	dev[0]=net(2,0-8)	InData	79909	88939.5
199	sub-1	2	dev[0]=net(2,0-8)	OutData	0	0
199	sub-1	3	dev[0]=net(3,0-9)	InInterests	0	0
199	sub-1	3	dev[0]=net(3,0-9)	OutInterests	64292	2117.29
199	sub-1	3	dev[0]=net(3,0-9)	InNacks	0	0
199	sub-1	3	dev[0]=net(3,0-9)	OutNacks	0	0
199	sub-1	3	dev[0]=net(3,0-9)	InData	63470	71131.1
199	sub-1	3	dev[0]=net(3,0-9)	OutData	0	0
199	sub-1	4	dev[0]=net(4,0-10)	InInterests	0	0
199	sub-1	4	dev[0]=net(4,0-10)	OutInterests	58796	1930.52
199	sub-1	4	dev[0]=net(4,0-10)	InNacks	0	0
199	sub-1	4	dev[0]=net(4,0-10)	OutNacks	0	0
199	sub-1	4	dev[0]=net(4,0-10)	InData	58005	64673.8
199	sub-1	4	dev[0]=net(4,0-10)	OutData	0	0
199	sub-1	5	dev=local(5)	InInterests	322630	10598.9
199	sub-1	5	dev=local(5)	OutInterests	0	0
199	sub-1	5	dev=local(5)	InNacks	0	0
199	sub-1	5	dev=local(5)	OutNacks	0	0
199	sub-1	5	dev=local(5)	InData	0	0
199	sub-1	5	dev=local(5)	OutData	318619	355669
199	sub-2	0	dev[1]=net(0,1-6)	InInterests	0	0
199	sub-2	0	dev[1]=net(0,1-6)	OutInterests	116171	3770.87
199	sub-2	0	dev[1]=net(0,1-6)	InNacks	0	0
199	sub-2	0	dev[1]=net(0,1-6)	OutNacks	0	0
199	sub-2	0	dev[1]=net(0,1-6)	InData	115077	128409
199	sub-2	0	dev[1]=net(0,1-6)	OutData	0	0
199	sub-2	1	dev=local(1)	InInterests	116171	3770.87
199	sub-2	1	dev=local(1)	OutInterests	0	0
199	sub-2	1	dev=local(1)	InNacks	0	0
199	sub-2	1	dev=local(1)	OutNacks	0	0
199	sub-2	1	dev=local(1)	InData	0	0
199	sub-2	1	dev=local(1)	OutData	115077	128409
199	sub-3	0	dev[2]=net(0,2-7)	InInterests	0	0
199	sub-3	0	dev[2]=net(0,2-7)	OutInterests	111785	3662.18
199	sub-3	0	dev[2]=net(0,2-7)	InNacks	0	0
199	sub-3	0	dev[2]=net(0,2-7)	OutNacks	0	0
199	sub-3	0	dev[2]=net(0,2-7)	InData	110728	124448
199	sub-3	0	dev[2]=net(0,2-7)	OutData	0	0
199	sub-3	1	dev=local(1)	InInterests	111786	3662.22
199	sub-3	1	dev=local(1)	OutInterests	0	0
199	sub-3	1	dev=local(1)	InNacks	0	0
199	sub-3	1	dev=local(1)	OutNacks	0	0
199	sub-3	1	dev=local(1)	InData	0	0
199	sub-3	1	dev=local(1)	OutData	110729	124449
199	sub-4	0	dev[3]=net(0,3-8)	InInterests	0	0
199	sub-4	0	dev[3]=net(0,3-8)	OutInterests	114563	3751.72
199	sub-4	0	dev[3]=net(0,3-8)	InNacks	0	0
199	sub-4	0	dev[3]=net(0,3-8)	OutNacks	0	0
199	sub-4	0	dev[3]=net(0,3-8)	InData	113313	125079
199	sub-4	0	dev[3]=net(0,3-8)	OutData	0	0
199	sub-4	1	dev=local(1)	InInterests	114563	3751.72
199	sub-4	1	dev=local(1)	OutInterests	0	0
199	sub-4	1	dev=local(1)	InNacks	0	0
199	sub-4	1	dev=local(1)	OutNacks	0	0
199	sub-4	1	dev=local(1)	InData	0	0
199	sub-4	1	dev=local(1)	OutData	113313	125079
199	sub-5	0	dev[4]=net(0,4-9)	InInterests	0	0
199	sub-5	0	dev[4]=net(0,4-9)	OutInterests	103396	3384.36
