Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1499	DE	0	dev[0]=net(0,0-1)	InInterests	214109	7249.55
1499	DE	0	dev[0]=net(0,0-1)	OutInterests	142655	4827.31
1499	DE	0	dev[0]=net(0,0-1)	InNacks	0	0
1499	DE	0	dev[0]=net(0,0-1)	OutNacks	0	0
1499	DE	0	dev[0]=net(0,0-1)	InData	142646	148727
1499	DE	0	dev[0]=net(0,0-1)	OutData	213624	222735
1499	DE	2	dev[0]=net(2,0-5)	InInterests	101766	3359.34
1499	DE	2	dev[0]=net(2,0-5)	OutInterests	71515	2415.3
1499	DE	2	dev[0]=net(2,0-5)	InNacks	0	0
1499	DE	2	dev[0]=net(2,0-5)	OutNacks	0	0
1499	DE	2	dev[0]=net(2,0-5)	InData	71513	74556.8
1499	DE	2	dev[0]=net(2,0-5)	OutData	101577	105823
1499	DE	6	dev[0]=net(6,0-4)	InInterests	132697	4506.72
1499	DE	6	dev[0]=net(6,0-4)	OutInterests	213829	7209.68
1499	DE	6	dev[0]=net(6,0-4)	InNacks	0	0
1499	DE	6	dev[0]=net(6,0-4)	OutNacks	0	0
1499	DE	6	dev[0]=net(6,0-4)	InData	213165	222226
1499	DE	6	dev[0]=net(6,0-4)	OutData	132433	138095
1499	DK	4	dev[1]=net(4,1-17)	InInterests	163270	5521.89
1499	DK	4	dev[1]=net(4,1-17)	OutInterests	0	0
1499	DK	4	dev[1]=net(4,1-17)	InNacks	0	0
1499	DK	4	dev[1]=net(4,1-17)	OutNacks	0	0
1499	DK	4	dev[1]=net(4,1-17)	InData	0	0
1499	DK	4	dev[1]=net(4,1-17)	OutData	162830	169768
1499	DK	0	dev[1]=net(0,0-1)	InInterests	142655	4827.31
1499	DK	0	dev[1]=net(0,0-1)	OutInterests	214109	7249.55
1499	DK	0	dev[1]=net(0,0-1)	InNacks	0	0
1499	DK	0	dev[1]=net(0,0-1)	OutNacks	0	0
1499	DK	0	dev[1]=net(0,0-1)	InData	213624	222735
1499	DK	0	dev[1]=net(0,0-1)	OutData	142646	148727
1499	DK	5	dev[1]=net(5,1-25)	InInterests	61026	2056.05
1499	DK	5	dev[1]=net(5,1-25)	OutInterests	0	0
1499	DK	5	dev[1]=net(5,1-25)	InNacks	0	0
1499	DK	5	dev[1]=net(5,1-25)	OutNacks	0	0
1499	DK	5	dev[1]=net(5,1-25)	InData	0	0
1499	DK	5	dev[1]=net(5,1-25)	OutData	61026	63618.4
1499	DK	2	dev[1]=net(2,1-9)	InInterests	91727	3125.18
1499	DK	2	dev[1]=net(2,1-9)	OutInterests	0	0
1499	DK	2	dev[1]=net(2,1-9)	InNacks	0	0
1499	DK	2	dev[1]=net(2,1-9)	OutNacks	0	0
1499	DK	2	dev[1]=net(2,1-9)	InData	0	0
1499	DK	2	dev[1]=net(2,1-9)	OutData	91585	95510.3
1499	DK	7	dev=local(7)	InInterests	0	0
1499	DK	7	dev=local(7)	OutInterests	244322	8272.65
1499	DK	7	dev=local(7)	InNacks	0	0
1499	DK	7	dev=local(7)	OutNacks	0	0
1499	DK	7	dev=local(7)	InData	244322	254742
1499	DK	7	dev=local(7)	OutData	0	0
1499	AT	0	dev[4]=net(0,0-4)	InInterests	213726	7206.14
1499	AT	0	dev[4]=net(0,0-4)	OutInterests	132844	4511.72
1499	AT	0	dev[4]=net(0,0-4)	InNacks	0	0
1499	AT	0	dev[4]=net(0,0-4)	OutNacks	0	0
1499	AT	0	dev[4]=net(0,0-4)	InData	132433	138095
1499	AT	0	dev[4]=net(0,0-4)	OutData	213165	222226
1499	AT	3	dev[4]=net(3,4-13)	InInterests	147559	5005.58
1499	AT	3	dev[4]=net(3,4-13)	OutInterests	0	0
1499	AT	3	dev[4]=net(3,4-13)	InNacks	0	0
1499	AT	3	dev[4]=net(3,4-13)	OutNacks	0	0
1499	AT	3	dev[4]=net(3,4-13)	InData	0	0
1499	AT	3	dev[4]=net(3,4-13)	OutData	147390	153685
1499	AT	4	dev[4]=net(4,4-33)	InInterests	168740	5648.2
1499	AT	4	dev[4]=net(4,4-33)	OutInterests	0	0
1499	AT	4	dev[4]=net(4,4-33)	InNacks	0	0
1499	AT	4	dev[4]=net(4,4-33)	OutNacks	0	0
1499	AT	4	dev[4]=net(4,4-33)	InData	0	0
1499	AT	4	dev[4]=net(4,4-33)	OutData	168268	175380
1499	AT	5	dev=local(5)	InInterests	0	0
1499	AT	5	dev=local(5)	OutInterests	386060	12988.8
1499	AT	5	dev=local(5)	InNacks	0	0
1499	AT	5	dev=local(5)	OutNacks	0	0
1499	AT	5	dev=local(5)	InData	386060	402442
1499	AT	5	dev=local(5)	OutData	0	0
1499	CH	0	dev[5]=net(0,0-5)	InInterests	71515	2415.3
1499	CH	0	dev[5]=net(0,0-5)	OutInterests	101766	3359.34
1499	CH	0	dev[5]=net(0,0-5)	InNacks	0	0
1499	CH	0	dev[5]=net(0,0-5)	OutNacks	0	0
1499	CH	0	dev[5]=net(0,0-5)	InData	101577	105823
1499	CH	0	dev[5]=net(0,0-5)	OutData	71513	74556.8
1499	CH	2	dev[5]=net(2,5-23)	InInterests	0	0
1499	CH	2	dev[5]=net(2,5-23)	OutInterests	91963	3124.19
1499	CH	2	dev[5]=net(2,5-23)	InNacks	0	0
1499	CH	2	dev[5]=net(2,5-23)	OutNacks	0	0
1499	CH	2	dev[5]=net(2,5-23)	InData	91961	95893.4
1499	CH	2	dev[5]=net(2,5-23)	OutData	0	0
1499	CH	3	dev[5]=net(3,5-14)	InInterests	20371	686.29
1499	CH	3	dev[5]=net(3,5-14)	OutInterests	0	0
1499	CH	3	dev[5]=net(3,5-14)	InNacks	0	0
1499	CH	3	dev[5]=net(3,5-14)	OutNacks	0	0
1499	CH	3	dev[5]=net(3,5-14)	InData	0	0
1499	CH	3	dev[5]=net(3,5-14)	OutData	20350	21214.4
1499	CH	4	dev[5]=net(4,40-5)	InInterests	30672	988.453
1499	CH	4	dev[5]=net(4,40-5)	OutInterests	0	0
1499	CH	4	dev[5]=net(4,40-5)	InNacks	0	0
1499	CH	4	dev[5]=net(4,40-5)	OutNacks	0	0
1499	CH	4	dev[5]=net(4,40-5)	InData	0	0
1499	CH	4	dev[5]=net(4,40-5)	OutData	30664	31921.7
1499	CH	5	dev[5]=net(5,41-5)	InInterests	20448	708.891
1499	CH	5	dev[5]=net(5,41-5)	OutInterests	0	0
1499	CH	5	dev[5]=net(5,41-5)	InNacks	0	0
1499	CH	5	dev[5]=net(5,41-5)	OutNacks	0	0
1499	CH	5	dev[5]=net(5,41-5)	InData	0	0
1499	CH	5	dev[5]=net(5,41-5)	OutData	20448	21336.6
1499	CH	6	dev[5]=net(6,42-5)	InInterests	61229	2023.17
1499	CH	6	dev[5]=net(6,42-5)	OutInterests	0	0
1499	CH	6	dev[5]=net(6,42-5)	InNacks	0	0
1499	CH	6	dev[5]=net(6,42-5)	OutNacks	0	0
1499	CH	6	dev[5]=net(6,42-5)	InData	0	0
1499	CH	6	dev[5]=net(6,42-5)	OutData	61069	63623.6
1499	SE	0	dev[9]=net(0,1-9)	InInterests	0	0
1499	SE	0	dev[9]=net(0,1-9)	OutInterests	91727	3125.18
1499	SE	0	dev[9]=net(0,1-9)	InNacks	0	0
1499	SE	0	dev[9]=net(0,1-9)	OutNacks	0	0
1499	SE	0	dev[9]=net(0,1-9)	InData	91585	95510.3
1499	SE	0	dev[9]=net(0,1-9)	OutData	0	0
1499	SE	3	dev[9]=net(3,55-9)	InInterests	20448	688.922
1499	SE	3	dev[9]=net(3,55-9)	OutInterests	0	0
1499	SE	3	dev[9]=net(3,55-9)	InNacks	0	0
1499	SE	3	dev[9]=net(3,55-9)	OutNacks	0	0
1499	SE	3	dev[9]=net(3,55-9)	InData	0	0
1499	SE	3	dev[9]=net(3,55-9)	OutData	20448	21316.6
1499	SE	4	dev[9]=net(4,56-9)	InInterests	20448	688.922
1499	SE	4	dev[9]=net(4,56-9)	OutInterests	0	0
1499	SE	4	dev[9]=net(4,56-9)	InNacks	0	0
1499	SE	4	dev[9]=net(4,56-9)	OutNacks	0	0
1499	SE	4	dev[9]=net(4,56-9)	InData	0	0
1499	SE	4	dev[9]=net(4,56-9)	OutData	20446	21314.6
1499	SE	5	dev[9]=net(5,57-9)	InInterests	50831	1747.34
1499	SE	5	dev[9]=net(5,57-9)	OutInterests	0	0
1499	SE	5	dev[9]=net(5,57-9)	InNacks	0	0
1499	SE	5	dev[9]=net(5,57-9)	OutNacks	0	0
1499	SE	5	dev[9]=net(5,57-9)	InData	0	0
1499	SE	5	dev[9]=net(5,57-9)	OutData	50691	52879.1
1499	IT	0	dev[13]=net(0,4-13)	InInterests	0	0
1499	IT	0	dev[13]=net(0,4-13)	OutInterests	147576	5006.13
1499	IT	0	dev[13]=net(0,4-13)	InNacks	0	0
1499	IT	0	dev[13]=net(0,4-13)	OutNacks	0	0
1499	IT	0	dev[13]=net(0,4-13)	InData	147390	153685
1499	IT	0	dev[13]=net(0,4-13)	OutData	0	0
1499	IT	2	dev[13]=net(2,13-33)	InInterests	132407	4496.56
1499	IT	2	dev[13]=net(2,13-33)	OutInterests	0	0
1499	IT	2	dev[13]=net(2,13-33)	InNacks	0	0
1499	IT	2	dev[13]=net(2,13-33)	OutNacks	0	0
1499	IT	2	dev[13]=net(2,13-33)	InData	0	0
1499	IT	2	dev[13]=net(2,13-33)	OutData	132293	137949
1499	IT	3	dev[13]=net(3,13-23)	InInterests	0	0
