Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
1499	DE	0	dev[0]=net(0,0-1)	InInterests	192790	6525.47
1499	DE	0	dev[0]=net(0,0-1)	OutInterests	0	0
1499	DE	0	dev[0]=net(0,0-1)	InNacks	0	0
1499	DE	0	dev[0]=net(0,0-1)	OutNacks	0	0
1499	DE	0	dev[0]=net(0,0-1)	InData	0	0
1499	DE	0	dev[0]=net(0,0-1)	OutData	192730	211840
1499	DE	1	dev[0]=net(1,0-3)	InInterests	54277	1852.65
1499	DE	1	dev[0]=net(1,0-3)	OutInterests	0	0
1499	DE	1	dev[0]=net(1,0-3)	InNacks	0	0
1499	DE	1	dev[0]=net(1,0-3)	OutNacks	0	0
1499	DE	1	dev[0]=net(1,0-3)	InData	0	0
1499	DE	1	dev[0]=net(1,0-3)	OutData	54239	61220.3
1499	DE	2	dev[0]=net(2,0-5)	InInterests	162286	5444.64
1499	DE	2	dev[0]=net(2,0-5)	OutInterests	74169	2506.37
1499	DE	2	dev[0]=net(2,0-5)	InNacks	0	0
1499	DE	2	dev[0]=net(2,0-5)	OutNacks	0	0
1499	DE	2	dev[0]=net(2,0-5)	InData	74168	83328.7
1499	DE	2	dev[0]=net(2,0-5)	OutData	162254	182439
1499	DE	3	dev[0]=net(3,0-7)	InInterests	0	0
1499	DE	3	dev[0]=net(3,0-7)	OutInterests	210998	7126.71
1499	DE	3	dev[0]=net(3,0-7)	InNacks	0	0
1499	DE	3	dev[0]=net(3,0-7)	OutNacks	0	0
1499	DE	3	dev[0]=net(3,0-7)	InData	210932	237460
1499	DE	3	dev[0]=net(3,0-7)	OutData	0	0
1499	DE	4	dev[0]=net(4,0-2)	InInterests	960	33.3594
1499	DE	4	dev[0]=net(4,0-2)	OutInterests	0	0
1499	DE	4	dev[0]=net(4,0-2)	InNacks	0	0
1499	DE	4	dev[0]=net(4,0-2)	OutNacks	0	0
1499	DE	4	dev[0]=net(4,0-2)	InData	0	0
1499	DE	4	dev[0]=net(4,0-2)	OutData	960	1085.39
1499	DE	6	dev[0]=net(6,0-4)	InInterests	21555	708.588
1499	DE	6	dev[0]=net(6,0-4)	OutInterests	130937	4432.47
1499	DE	6	dev[0]=net(6,0-4)	InNacks	0	0
1499	DE	6	dev[0]=net(6,0-4)	OutNacks	0	0
1499	DE	6	dev[0]=net(6,0-4)	InData	130874	142028
1499	DE	6	dev[0]=net(6,0-4)	OutData	21551	23901.4
1499	DE	7	dev[0]=net(7,0-6)	InInterests	5973	201.351
1499	DE	7	dev[0]=net(7,0-6)	OutInterests	0	0
1499	DE	7	dev[0]=net(7,0-6)	InNacks	0	0
1499	DE	7	dev[0]=net(7,0-6)	OutNacks	0	0
1499	DE	7	dev[0]=net(7,0-6)	InData	0	0
1499	DE	7	dev[0]=net(7,0-6)	OutData	5973	6691.47
1499	DK	3	dev[1]=net(3,1-7)	InInterests	201169	6809.94
1499	DK	3	dev[1]=net(3,1-7)	OutInterests	0	0
1499	DK	3	dev[1]=net(3,1-7)	InNacks	0	0
1499	DK	3	dev[1]=net(3,1-7)	OutNacks	0	0
1499	DK	3	dev[1]=net(3,1-7)	InData	0	0
1499	DK	3	dev[1]=net(3,1-7)	OutData	201144	209721
1499	DK	4	dev[1]=net(4,1-17)	InInterests	140930	4762.36
1499	DK	4	dev[1]=net(4,1-17)	OutInterests	0	0
1499	DK	4	dev[1]=net(4,1-17)	InNacks	0	0
1499	DK	4	dev[1]=net(4,1-17)	OutNacks	0	0
1499	DK	4	dev[1]=net(4,1-17)	InData	0	0
1499	DK	4	dev[1]=net(4,1-17)	OutData	140841	158874
1499	DK	1	dev[1]=net(1,1-8)	InInterests	20732	698.571
1499	DK	1	dev[1]=net(1,1-8)	OutInterests	0	0
1499	DK	1	dev[1]=net(1,1-8)	InNacks	0	0
1499	DK	1	dev[1]=net(1,1-8)	OutNacks	0	0
1499	DK	1	dev[1]=net(1,1-8)	InData	0	0
1499	DK	1	dev[1]=net(1,1-8)	OutData	20732	24007.9
1499	DK	0	dev[1]=net(0,0-1)	InInterests	0	0
1499	DK	0	dev[1]=net(0,0-1)	OutInterests	192790	6525.47
1499	DK	0	dev[1]=net(0,0-1)	InNacks	0	0
1499	DK	0	dev[1]=net(0,0-1)	OutNacks	0	0
1499	DK	0	dev[1]=net(0,0-1)	InData	192730	220011
1499	DK	0	dev[1]=net(0,0-1)	OutData	0	0
1499	DK	5	dev[1]=net(5,1-25)	InInterests	3838	129.449
1499	DK	5	dev[1]=net(5,1-25)	OutInterests	0	0
1499	DK	5	dev[1]=net(5,1-25)	InNacks	0	0
1499	DK	5	dev[1]=net(5,1-25)	OutNacks	0	0
1499	DK	5	dev[1]=net(5,1-25)	InData	0	0
1499	DK	5	dev[1]=net(5,1-25)	OutData	3838	4001.18
1499	DK	2	dev[1]=net(2,1-9)	InInterests	71066	2428.99
1499	DK	2	dev[1]=net(2,1-9)	OutInterests	0	0
1499	DK	2	dev[1]=net(2,1-9)	InNacks	0	0
1499	DK	2	dev[1]=net(2,1-9)	OutNacks	0	0
1499	DK	2	dev[1]=net(2,1-9)	InData	0	0
1499	DK	2	dev[1]=net(2,1-9)	OutData	71040	78726.6
1499	DK	7	dev=local(7)	InInterests	0	0
1499	DK	7	dev=local(7)	OutInterests	244817	8299.59
1499	DK	7	dev=local(7)	InNacks	0	0
1499	DK	7	dev=local(7)	OutNacks	0	0
1499	DK	7	dev=local(7)	InData	244817	255268
1499	DK	7	dev=local(7)	OutData	0	0
1499	PL	2	dev[2]=net(2,2-3)	InInterests	0	0
1499	PL	2	dev[2]=net(2,2-3)	OutInterests	21365	725.247
1499	PL	2	dev[2]=net(2,2-3)	InNacks	0	0
1499	PL	2	dev[2]=net(2,2-3)	OutNacks	0	0
1499	PL	2	dev[2]=net(2,2-3)	InData	21365	24978.5
1499	PL	2	dev[2]=net(2,2-3)	OutData	0	0
1499	PL	0	dev[2]=net(0,0-2)	InInterests	0	0
1499	PL	0	dev[2]=net(0,0-2)	OutInterests	960	33.3594
1499	PL	0	dev[2]=net(0,0-2)	InNacks	0	0
1499	PL	0	dev[2]=net(0,0-2)	OutNacks	0	0
1499	PL	0	dev[2]=net(0,0-2)	InData	960	1127.19
