Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
root	2	3065232	LastDelay	0.00452266	4522.66	1	6
root	2	3065232	FullDelay	0.00452266	4522.66	1	6
root	2	3065233	LastDelay	0.00452266	4522.66	1	6
root	2	3065233	FullDelay	0.00452266	4522.66	1	6
root	2	3065234	LastDelay	0.00480666	4806.66	1	6
root	2	3065234	FullDelay	0.00480666	4806.66	1	6
root	2	3065235	LastDelay	0.00452266	4522.66	1	6
root	2	3065235	FullDelay	0.00452266	4522.66	1	6
root	2	3065236	LastDelay	0.00452266	4522.66	1	6
root	2	3065236	FullDelay	0.00452266	4522.66	1	6
root	2	3065237	LastDelay	0.00480666	4806.66	1	6
root	2	3065237	FullDelay	0.00480666	4806.66	1	6
root	2	3065238	LastDelay	0.00452266	4522.66	1	6
root	2	3065238	FullDelay	0.00452266	4522.66	1	6
root	2	3065239	LastDelay	0.00452266	4522.66	1	6
root	2	3065239	FullDelay	0.00452266	4522.66	1	6
root	2	3065240	LastDelay	0.00452266	4522.66	1	6
root	2	3065240	FullDelay	0.00452266	4522.66	1	6
root	2	3065241	LastDelay	0.00480666	4806.66	1	6
root	2	3065241	FullDelay	0.00480666	4806.66	1	6
root	2	3065242	LastDelay	0.00452266	4522.66	1	6
root	2	3065242	FullDelay	0.00452266	4522.66	1	6
root	2	3065243	LastDelay	0.00452266	4522.66	1	6
root	2	3065243	FullDelay	0.00452266	4522.66	1	6
root	2	3065244	LastDelay	0.00452266	4522.66	1	6
root	2	3065244	FullDelay	0.00452266	4522.66	1	6
root	2	3065245	LastDelay	0.00452266	4522.66	1	6
root	2	3065245	FullDelay	0.00452266	4522.66	1	6
root	2	3065246	LastDelay	0.00480666	4806.66	1	6
root	2	3065246	FullDelay	0.00480666	4806.66	1	6
root	2	3065247	LastDelay	0.00452266	4522.66	1	6
root	2	3065247	FullDelay	0.00452266	4522.66	1	6
root	2	3065248	LastDelay	0.00452266	4522.66	1	6
root	2	3065248	FullDelay	0.00452266	4522.66	1	6
root	2	3065249	LastDelay	0.00452266	4522.66	1	6
root	2	3065249	FullDelay	0.00452266	4522.66	1	6
root	2	3065250	LastDelay	0.00452266	4522.66	1	6
root	2	3065250	FullDelay	0.00452266	4522.66	1	6
root	2	3065251	LastDelay	0.00452266	4522.66	1	6
root	2	3065251	FullDelay	0.00452266	4522.66	1	6
root	2	3065252	LastDelay	0.00480666	4806.66	1	6
root	2	3065252	FullDelay	0.00480666	4806.66	1	6
root	2	3065253	LastDelay	0.00452266	4522.66	1	6
root	2	3065253	FullDelay	0.00452266	4522.66	1	6
root	2	3065254	LastDelay	0.00452266	4522.66	1	6
root	2	3065254	FullDelay	0.00452266	4522.66	1	6
root	2	3065255	LastDelay	0.00452266	4522.66	1	6
root	2	3065255	FullDelay	0.00452266	4522.66	1	6
root	2	3065256	LastDelay	0.00452266	4522.66	1	6
root	2	3065256	FullDelay	0.00452266	4522.66	1	6
root	2	3065257	LastDelay	0.00452266	4522.66	1	6
root	2	3065257	FullDelay	0.00452266	4522.66	1	6
root	2	3065258	LastDelay	0.00452266	4522.66	1	6
root	2	3065258	FullDelay	0.00452266	4522.66	1	6
root	2	3065259	LastDelay	0.00480666	4806.66	1	6
root	2	3065259	FullDelay	0.00480666	4806.66	1	6
root	2	3065260	LastDelay	0.00452266	4522.66	1	6
root	2	3065260	FullDelay	0.00452266	4522.66	1	6
root	2	3065261	LastDelay	0.00452266	4522.66	1	6
root	2	3065261	FullDelay	0.00452266	4522.66	1	6
root	2	3065262	LastDelay	0.00452266	4522.66	1	6
root	2	3065262	FullDelay	0.00452266	4522.66	1	6
root	2	3065263	LastDelay	0.00452266	4522.66	1	6
root	2	3065263	FullDelay	0.00452266	4522.66	1	6
root	2	3065264	LastDelay	0.00452266	4522.66	1	6
root	2	3065264	FullDelay	0.00452266	4522.66	1	6
root	2	3065265	LastDelay	0.00452266	4522.66	1	6
root	2	3065265	FullDelay	0.00452266	4522.66	1	6
root	2	3065266	LastDelay	0.00452266	4522.66	1	6
root	2	3065266	FullDelay	0.00452266	4522.66	1	6
root	2	3065267	LastDelay	0.00480666	4806.66	1	6
root	2	3065267	FullDelay	0.00480666	4806.66	1	6
root	2	3065268	LastDelay	0.00452266	4522.66	1	6
root	2	3065268	FullDelay	0.00452266	4522.66	1	6
root	2	3065269	LastDelay	0.00452266	4522.66	1	6
root	2	3065269	FullDelay	0.00452266	4522.66	1	6
root	2	3065270	LastDelay	0.00452266	4522.66	1	6
root	2	3065270	FullDelay	0.00452266	4522.66	1	6
root	2	3065271	LastDelay	0.00452266	4522.66	1	6
root	2	3065271	FullDelay	0.00452266	4522.66	1	6
root	2	3065272	LastDelay	0.00452266	4522.66	1	6
root	2	3065272	FullDelay	0.00452266	4522.66	1	6
root	2	3065273	LastDelay	0.00452266	4522.66	1	6
root	2	3065273	FullDelay	0.00452266	4522.66	1	6
root	2	3065274	LastDelay	0.00452266	4522.66	1	6
root	2	3065274	FullDelay	0.00452266	4522.66	1	6
root	2	3065275	LastDelay	0.00452266	4522.66	1	6
root	2	3065275	FullDelay	0.00452266	4522.66	1	6
root	2	3065276	LastDelay	0.00480666	4806.66	1	6
root	2	3065276	FullDelay	0.00480666	4806.66	1	6
root	2	3065277	LastDelay	0.00452266	4522.66	1	6
root	2	3065277	FullDelay	0.00452266	4522.66	1	6
root	2	3065278	LastDelay	0.00452266	4522.66	1	6
root	2	3065278	FullDelay	0.00452266	4522.66	1	6
root	2	3065279	LastDelay	0.00452266	4522.66	1	6
root	2	3065279	FullDelay	0.00452266	4522.66	1	6
root	2	3065280	LastDelay	0.00452266	4522.66	1	6
root	2	3065280	FullDelay	0.00452266	4522.66	1	6
root	2	3065281	LastDelay	0.00452266	4522.66	1	6
root	2	3065281	FullDelay	0.00452266	4522.66	1	6
root	2	3065282	LastDelay	0.00452266	4522.66	1	6
root	2	3065282	FullDelay	0.00452266	4522.66	1	6
root	2	3065283	LastDelay	0.00452266	4522.66	1	6
root	2	3065283	FullDelay	0.00452266	4522.66	1	6
root	2	3065284	LastDelay	0.00452266	4522.66	1	6
root	2	3065284	FullDelay	0.00452266	4522.66	1	6
root	2	3065285	LastDelay	0.00452266	4522.66	1	6
root	2	3065285	FullDelay	0.00452266	4522.66	1	6
root	2	3065286	LastDelay	0.00480666	4806.66	1	6
root	2	3065286	FullDelay	0.00480666	4806.66	1	6
root	2	3065287	LastDelay	0.00452266	4522.66	1	6
root	2	3065287	FullDelay	0.00452266	4522.66	1	6
root	2	3065288	LastDelay	0.00452266	4522.66	1	6
root	2	3065288	FullDelay	0.00452266	4522.66	1	6
root	2	3065289	LastDelay	0.00452266	4522.66	1	6
root	2	3065289	FullDelay	0.00452266	4522.66	1	6
root	2	3065290	LastDelay	0.00452266	4522.66	1	6
root	2	3065290	FullDelay	0.00452266	4522.66	1	6
root	2	3065291	LastDelay	0.00452266	4522.66	1	6
root	2	3065291	FullDelay	0.00452266	4522.66	1	6
root	2	3065292	LastDelay	0.00452266	4522.66	1	6
root	2	3065292	FullDelay	0.00452266	4522.66	1	6
root	2	3065293	LastDelay	0.00452266	4522.66	1	6
root	2	3065293	FullDelay	0.00452266	4522.66	1	6
root	2	3065294	LastDelay	0.00452266	4522.66	1	6
root	2	3065294	FullDelay	0.00452266	4522.66	1	6
root	2	3065295	LastDelay	0.00452266	4522.66	1	6
root	2	3065295	FullDelay	0.00452266	4522.66	1	6
root	2	3065296	LastDelay	0.00452266	4522.66	1	6
root	2	3065296	FullDelay	0.00452266	4522.66	1	6
root	2	3065297	LastDelay	0.00480666	4806.66	1	6
root	2	3065297	FullDelay	0.00480666	4806.66	1	6
root	2	3065298	LastDelay	0.00452266	4522.66	1	6
root	2	3065298	FullDelay	0.00452266	4522.66	1	6
root	2	3065299	LastDelay	0.00452266	4522.66	1	6
root	2	3065299	FullDelay	0.00452266	4522.66	1	6
root	2	3065300	LastDelay	0.00452266	4522.66	1	6
root	2	3065300	FullDelay	0.00452266	4522.66	1	6
root	2	3065301	LastDelay	0.00452266	4522.66	1	6
root	2	3065301	FullDelay	0.00452266	4522.66	1	6
root	2	3065302	LastDelay	0.00452266	4522.66	1	6
root	2	3065302	FullDelay	0.00452266	4522.66	1	6
root	2	3065303	LastDelay	0.00452266	4522.66	1	6
root	2	3065303	FullDelay	0.00452266	4522.66	1	6
root	2	3065304	LastDelay	0.00452266	4522.66	1	6
root	2	3065304	FullDelay	0.00452266	4522.66	1	6
root	2	3065305	LastDelay	0.00452266	4522.66	1	6
root	2	3065305	FullDelay	0.00452266	4522.66	1	6
root	2	3065306	LastDelay	0.00452266	4522.66	1	6
root	2	3065306	FullDelay	0.00452266	4522.66	1	6
root	2	3065307	LastDelay	0.00452266	4522.66	1	6
root	2	3065307	FullDelay	0.00452266	4522.66	1	6
root	2	3065308	LastDelay	0.00452266	4522.66	1	6
root	2	3065308	FullDelay	0.00452266	4522.66	1	6
root	2	3065309	LastDelay	0.00480666	4806.66	1	6
root	2	3065309	FullDelay	0.00480666	4806.66	1	6
root	2	3065310	LastDelay	0.00452266	4522.66	1	6
root	2	3065310	FullDelay	0.00452266	4522.66	1	6
root	2	3065311	LastDelay	0.00452266	4522.66	1	6
root	2	3065311	FullDelay	0.00452266	4522.66	1	6
root	2	3065312	LastDelay	0.00452266	4522.66	1	6
root	2	3065312	FullDelay	0.00452266	4522.66	1	6
root	2	3065313	LastDelay	0.00452266	4522.66	1	6
root	2	3065313	FullDelay	0.00452266	4522.66	1	6
root	2	3065314	LastDelay	0.00452266	4522.66	1	6
root	2	3065314	FullDelay	0.00452266	4522.66	1	6
root	2	3065315	LastDelay	0.00452266	4522.66	1	6
root	2	3065315	FullDelay	0.00452266	4522.66	1	6
root	2	3065316	LastDelay	0.00452266	4522.66	1	6
root	2	3065316	FullDelay	0.00452266	4522.66	1	6
root	2	3065317	LastDelay	0.00452266	4522.66	1	6
root	2	3065317	FullDelay	0.00452266	4522.66	1	6
root	2	3065318	LastDelay	0.00452266	4522.66	1	6
root	2	3065318	FullDelay	0.00452266	4522.66	1	6
root	2	3065319	LastDelay	0.00452266	4522.66	1	6
root	2	3065319	FullDelay	0.00452266	4522.66	1	6
root	2	3065320	LastDelay	0.00452266	4522.66	1	6
root	2	3065320	FullDelay	0.00452266	4522.66	1	6
root	2	3065321	LastDelay	0.00452266	4522.66	1	6
root	2	3065321	FullDelay	0.00452266	4522.66	1	6
root	2	3065322	LastDelay	0.00480666	4806.66	1	6
root	2	3065322	FullDelay	0.00480666	4806.66	1	6
root	2	3065323	LastDelay	0.00452266	4522.66	1	6
root	2	3065323	FullDelay	0.00452266	4522.66	1	6
root	2	3065324	LastDelay	0.00452266	4522.66	1	6
root	2	3065324	FullDelay	0.00452266	4522.66	1	6
root	2	3065325	LastDelay	0.00452266	4522.66	1	6
root	2	3065325	FullDelay	0.00452266	4522.66	1	6
root	2	3065326	LastDelay	0.00452266	4522.66	1	6
root	2	3065326	FullDelay	0.00452266	4522.66	1	6
root	2	3065327	LastDelay	0.00452266	4522.66	1	6
root	2	3065327	FullDelay	0.00452266	4522.66	1	6
root	2	3065328	LastDelay	0.00452266	4522.66	1	6
root	2	3065328	FullDelay	0.00452266	4522.66	1	6
root	2	3065329	LastDelay	0.00452266	4522.66	1	6
root	2	3065329	FullDelay	0.00452266	4522.66	1	6
root	2	3065330	LastDelay	0.00452266	4522.66	1	6
root	2	3065330	FullDelay	0.00452266	4522.66	1	6
root	2	3065331	LastDelay	0.00452266	4522.66	1	6
root	2	3065331	FullDelay	0.00452266	4522.66	1	6
root	2	3065332	LastDelay	0.00452266	4522.66	1	6
root	2	3065332	FullDelay	0.00452266	4522.66	1	6
root	2	3065333	LastDelay	0.00452266	4522.66	1	6
root	2	3065333	FullDelay	0.00452266	4522.66	1	6
root	2	3065334	LastDelay	0.00452266	4522.66	1	6
root	2	3065334	FullDelay	0.00452266	4522.66	1	6
root	2	3065335	LastDelay	0.00452266	4522.66	1	6
root	2	3065335	FullDelay	0.00452266	4522.66	1	6
root	2	3065336	LastDelay	0.00480666	4806.66	1	6
root	2	3065336	FullDelay	0.00480666	4806.66	1	6
root	2	3065337	LastDelay	0.00452266	4522.66	1	6
root	2	3065337	FullDelay	0.00452266	4522.66	1	6
root	2	3065338	LastDelay	0.00452266	4522.66	1	6
root	2	3065338	FullDelay	0.00452266	4522.66	1	6
root	2	3065339	LastDelay	0.00452266	4522.66	1	6
root	2	3065339	FullDelay	0.00452266	4522.66	1	6
