35, Deleted path: 0, deletedWindow: 1, totalWindow: 33, m_inFlight[]: 1
7, Deleted path: 0, deletedWindow: 1, totalWindow: 29, m_inFlight[]: 2
35, Deleted path: 95, deletedWindow: 1, totalWindow: 41, m_inFlight[]: 1
35, Deleted path: 73, deletedWindow: 4, totalWindow: 47, m_inFlight[]: 4
35, Deleted path: 9, deletedWindow: 1, totalWindow: 66, m_inFlight[]: 1
35, Deleted path: 0, deletedWindow: 3, totalWindow: 68, m_inFlight[]: 3
7, Deleted path: 73, deletedWindow: 1, totalWindow: 91, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 1, totalWindow: 85, m_inFlight[]: 0
21, Deleted path: 95, deletedWindow: 2, totalWindow: 169, m_inFlight[]: 3
7, Deleted path: 95, deletedWindow: 4, totalWindow: 111, m_inFlight[]: 4
7, Deleted path: 0, deletedWindow: 4, totalWindow: 113, m_inFlight[]: 4
21, Deleted path: 42, deletedWindow: 4, totalWindow: 169, m_inFlight[]: 4
35, Deleted path: 9, deletedWindow: 1, totalWindow: 121, m_inFlight[]: 1
7, Deleted path: 39, deletedWindow: 1, totalWindow: 140, m_inFlight[]: 2
35, Deleted path: 0, deletedWindow: 3, totalWindow: 138, m_inFlight[]: 3
21, Deleted path: 35, deletedWindow: 6, totalWindow: 236, m_inFlight[]: 6
35, Deleted path: 95, deletedWindow: 2, totalWindow: 148, m_inFlight[]: 3
7, Deleted path: 9, deletedWindow: 5, totalWindow: 153, m_inFlight[]: 5
21, Deleted path: 54, deletedWindow: 5, totalWindow: 246, m_inFlight[]: 5
35, Deleted path: 0, deletedWindow: 3, totalWindow: 152, m_inFlight[]: 3
35, Deleted path: 9, deletedWindow: 1, totalWindow: 133, m_inFlight[]: 1
35, Deleted path: 39, deletedWindow: 1, totalWindow: 130, m_inFlight[]: 3
7, Deleted path: 54, deletedWindow: 1, totalWindow: 155, m_inFlight[]: 4
7, Deleted path: 39, deletedWindow: 4, totalWindow: 172, m_inFlight[]: 4
21, Deleted path: 95, deletedWindow: 3, totalWindow: 315, m_inFlight[]: 4
7, Deleted path: 0, deletedWindow: 3, totalWindow: 173, m_inFlight[]: 5
21, Deleted path: 35, deletedWindow: 4, totalWindow: 329, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 3, totalWindow: 173, m_inFlight[]: 3
7, Deleted path: 95, deletedWindow: 4, totalWindow: 126, m_inFlight[]: 4
21, Deleted path: 42, deletedWindow: 3, totalWindow: 318, m_inFlight[]: 3
35, Deleted path: 0, deletedWindow: 2, totalWindow: 179, m_inFlight[]: 2
7, Deleted path: 54, deletedWindow: 2, totalWindow: 138, m_inFlight[]: 2
21, Deleted path: 54, deletedWindow: 2, totalWindow: 345, m_inFlight[]: 2
35, Deleted path: 9, deletedWindow: 2, totalWindow: 195, m_inFlight[]: 3
7, Deleted path: 39, deletedWindow: 1, totalWindow: 151, m_inFlight[]: 2
35, Deleted path: 95, deletedWindow: 1, totalWindow: 191, m_inFlight[]: 4
21, Deleted path: 35, deletedWindow: 4, totalWindow: 396, m_inFlight[]: 4
35, Deleted path: 0, deletedWindow: 1, totalWindow: 199, m_inFlight[]: 0
7, Deleted path: 30, deletedWindow: 4, totalWindow: 162, m_inFlight[]: 4
21, Deleted path: 95, deletedWindow: 1, totalWindow: 470, m_inFlight[]: 0
35, Deleted path: 9, deletedWindow: 1, totalWindow: 193, m_inFlight[]: 0
7, Deleted path: 39, deletedWindow: 1, totalWindow: 183, m_inFlight[]: 0
35, Deleted path: 0, deletedWindow: 1, totalWindow: 231, m_inFlight[]: 1
35, Deleted path: 95, deletedWindow: 4, totalWindow: 237, m_inFlight[]: 4
7, Deleted path: 0, deletedWindow: 1, totalWindow: 203, m_inFlight[]: 2
21	contentNum: 103	timeTemp: 9.74142, contentTotal: 0, avg comp time: 9.74142, m_totalWindow: 453, sumOfWindow: 453
35, Deleted path: 9, deletedWindow: 1, totalWindow: 259, m_inFlight[]: 0
35, Deleted path: 0, deletedWindow: 1, totalWindow: 269, m_inFlight[]: 0
7, Deleted path: 95, deletedWindow: 4, totalWindow: 223, m_inFlight[]: 7
35, Deleted path: 13, deletedWindow: 25, totalWindow: 302, m_inFlight[]: 25
35, Deleted path: 54, deletedWindow: 4, totalWindow: 290, m_inFlight[]: 4
35, Deleted path: 9, deletedWindow: 1, totalWindow: 302, m_inFlight[]: 0
7, Deleted path: 0, deletedWindow: 1, totalWindow: 256, m_inFlight[]: 3
