Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes
599	Node1	1	dev[1]=net(1,1-2)	InInterests	0	0
599	Node1	1	dev[1]=net(1,1-2)	OutInterests	5222	260.578
599	Node1	1	dev[1]=net(1,1-2)	InNacks	0	0
599	Node1	1	dev[1]=net(1,1-2)	OutNacks	0	0
599	Node1	1	dev[1]=net(1,1-2)	InData	5218	5407.04
599	Node1	1	dev[1]=net(1,1-2)	OutData	0	0
599	Node1	2	dev[1]=net(2,1-8)	InInterests	0	0
599	Node1	2	dev[1]=net(2,1-8)	OutInterests	206	10.3359
599	Node1	2	dev[1]=net(2,1-8)	InNacks	0	0
599	Node1	2	dev[1]=net(2,1-8)	OutNacks	0	0
599	Node1	2	dev[1]=net(2,1-8)	InData	206	213.52
599	Node1	2	dev[1]=net(2,1-8)	OutData	0	0
599	Node1	3	dev[1]=net(3,1-9)	InInterests	0	0
599	Node1	3	dev[1]=net(3,1-9)	OutInterests	5412	270.487
599	Node1	3	dev[1]=net(3,1-9)	InNacks	0	0
599	Node1	3	dev[1]=net(3,1-9)	OutNacks	0	0
599	Node1	3	dev[1]=net(3,1-9)	InData	5388	5583.63
599	Node1	3	dev[1]=net(3,1-9)	OutData	0	0
599	Node1	4	dev[1]=net(4,7-1)	InInterests	10840	541.401
599	Node1	4	dev[1]=net(4,7-1)	OutInterests	0	0
599	Node1	4	dev[1]=net(4,7-1)	InNacks	0	0
599	Node1	4	dev[1]=net(4,7-1)	OutNacks	0	0
599	Node1	4	dev[1]=net(4,7-1)	InData	0	0
599	Node1	4	dev[1]=net(4,7-1)	OutData	10811	11203.2
599	Node2	0	dev[2]=net(0,1-2)	InInterests	5222	260.578
599	Node2	0	dev[2]=net(0,1-2)	OutInterests	0	0
599	Node2	0	dev[2]=net(0,1-2)	InNacks	0	0
599	Node2	0	dev[2]=net(0,1-2)	OutNacks	0	0
599	Node2	0	dev[2]=net(0,1-2)	InData	0	0
599	Node2	0	dev[2]=net(0,1-2)	OutData	5218	5407.04
599	Node2	1	dev[2]=net(1,2-3)	InInterests	0	0
599	Node2	1	dev[2]=net(1,2-3)	OutInterests	5194	259.183
599	Node2	1	dev[2]=net(1,2-3)	InNacks	0	0
599	Node2	1	dev[2]=net(1,2-3)	OutNacks	0	0
599	Node2	1	dev[2]=net(1,2-3)	InData	5190	5378.03
599	Node2	1	dev[2]=net(1,2-3)	OutData	0	0
599	Node2	2	dev[2]=net(2,2-9)	InInterests	0	0
599	Node2	2	dev[2]=net(2,2-9)	OutInterests	3545	176.832
599	Node2	2	dev[2]=net(2,2-9)	InNacks	0	0
599	Node2	2	dev[2]=net(2,2-9)	OutNacks	0	0
599	Node2	2	dev[2]=net(2,2-9)	InData	3541	3669.22
599	Node2	2	dev[2]=net(2,2-9)	OutData	0	0
599	Node2	3	dev[2]=net(3,2-10)	InInterests	0	0
599	Node2	3	dev[2]=net(3,2-10)	OutInterests	43	2.16895
599	Node2	3	dev[2]=net(3,2-10)	InNacks	0	0
599	Node2	3	dev[2]=net(3,2-10)	OutNacks	0	0
599	Node2	3	dev[2]=net(3,2-10)	InData	43	44.5811
599	Node2	3	dev[2]=net(3,2-10)	OutData	0	0
599	Node2	4	dev[2]=net(4,8-2)	InInterests	3589	179.051
599	Node2	4	dev[2]=net(4,8-2)	OutInterests	0	0
599	Node2	4	dev[2]=net(4,8-2)	InNacks	0	0
599	Node2	4	dev[2]=net(4,8-2)	OutNacks	0	0
599	Node2	4	dev[2]=net(4,8-2)	InData	0	0
599	Node2	4	dev[2]=net(4,8-2)	OutData	3585	3714.84
599	Node3	0	dev[3]=net(0,2-3)	InInterests	5194	259.183
599	Node3	0	dev[3]=net(0,2-3)	OutInterests	0	0
599	Node3	0	dev[3]=net(0,2-3)	InNacks	0	0
599	Node3	0	dev[3]=net(0,2-3)	OutNacks	0	0
599	Node3	0	dev[3]=net(0,2-3)	InData	0	0
599	Node3	0	dev[3]=net(0,2-3)	OutData	5190	5378.03
599	Node3	1	dev[3]=net(1,3-4)	InInterests	0	0
599	Node3	1	dev[3]=net(1,3-4)	OutInterests	3966	197.825
599	Node3	1	dev[3]=net(1,3-4)	InNacks	0	0
599	Node3	1	dev[3]=net(1,3-4)	OutNacks	0	0
599	Node3	1	dev[3]=net(1,3-4)	InData	3965	4108.57
599	Node3	1	dev[3]=net(1,3-4)	OutData	0	0
599	Node3	2	dev[3]=net(2,3-10)	InInterests	0	0
599	Node3	2	dev[3]=net(2,3-10)	OutInterests	5177	258.333
599	Node3	2	dev[3]=net(2,3-10)	InNacks	0	0
599	Node3	2	dev[3]=net(2,3-10)	OutNacks	0	0
599	Node3	2	dev[3]=net(2,3-10)	InData	5173	5360.41
599	Node3	2	dev[3]=net(2,3-10)	OutData	0	0
599	Node3	3	dev[3]=net(3,3-11)	InInterests	0	0
599	Node3	3	dev[3]=net(3,3-11)	OutInterests	3132	157.748
599	Node3	3	dev[3]=net(3,3-11)	InNacks	0	0
599	Node3	3	dev[3]=net(3,3-11)	OutNacks	0	0
599	Node3	3	dev[3]=net(3,3-11)	InData	3127	3241.75
599	Node3	3	dev[3]=net(3,3-11)	OutData	0	0
599	Node3	4	dev[3]=net(4,9-3)	InInterests	7099	355.624
599	Node3	4	dev[3]=net(4,9-3)	OutInterests	0	0
599	Node3	4	dev[3]=net(4,9-3)	InNacks	0	0
599	Node3	4	dev[3]=net(4,9-3)	OutNacks	0	0
599	Node3	4	dev[3]=net(4,9-3)	InData	0	0
599	Node3	4	dev[3]=net(4,9-3)	OutData	7093	7351.35
599	Node4	0	dev[4]=net(0,3-4)	InInterests	3966	197.825
599	Node4	0	dev[4]=net(0,3-4)	OutInterests	0	0
599	Node4	0	dev[4]=net(0,3-4)	InNacks	0	0
599	Node4	0	dev[4]=net(0,3-4)	OutNacks	0	0
599	Node4	0	dev[4]=net(0,3-4)	InData	0	0
599	Node4	0	dev[4]=net(0,3-4)	OutData	3965	4108.57
599	Node4	1	dev[4]=net(1,4-5)	InInterests	0	0
599	Node4	1	dev[4]=net(1,4-5)	OutInterests	2955	147.711
599	Node4	1	dev[4]=net(1,4-5)	InNacks	0	0
599	Node4	1	dev[4]=net(1,4-5)	OutNacks	0	0
599	Node4	1	dev[4]=net(1,4-5)	InData	2955	3062.31
599	Node4	1	dev[4]=net(1,4-5)	OutData	0	0
599	Node4	2	dev[4]=net(2,4-11)	InInterests	0	0
599	Node4	2	dev[4]=net(2,4-11)	OutInterests	11297	568.726
599	Node4	2	dev[4]=net(2,4-11)	InNacks	0	0
599	Node4	2	dev[4]=net(2,4-11)	OutNacks	0	0
599	Node4	2	dev[4]=net(2,4-11)	InData	11296	11710.2
599	Node4	2	dev[4]=net(2,4-11)	OutData	0	0
599	Node4	4	dev[4]=net(4,10-4)	InInterests	10291	518.862
599	Node4	4	dev[4]=net(4,10-4)	OutInterests	0	0
599	Node4	4	dev[4]=net(4,10-4)	InNacks	0	0
599	Node4	4	dev[4]=net(4,10-4)	OutNacks	0	0
599	Node4	4	dev[4]=net(4,10-4)	InData	0	0
599	Node4	4	dev[4]=net(4,10-4)	OutData	10290	10668.1
599	Node5	0	dev[5]=net(0,4-5)	InInterests	2955	147.711
599	Node5	0	dev[5]=net(0,4-5)	OutInterests	0	0
599	Node5	0	dev[5]=net(0,4-5)	InNacks	0	0
599	Node5	0	dev[5]=net(0,4-5)	OutNacks	0	0
599	Node5	0	dev[5]=net(0,4-5)	InData	0	0
599	Node5	0	dev[5]=net(0,4-5)	OutData	2955	3062.31
599	Node5	1	dev[5]=net(1,5-6)	InInterests	0	0
599	Node5	1	dev[5]=net(1,5-6)	OutInterests	1995	99.6572
599	Node5	1	dev[5]=net(1,5-6)	InNacks	0	0
599	Node5	1	dev[5]=net(1,5-6)	OutNacks	0	0
599	Node5	1	dev[5]=net(1,5-6)	InData	1995	2067.38
599	Node5	1	dev[5]=net(1,5-6)	OutData	0	0
599	Node5	2	dev[5]=net(2,5-12)	InInterests	0	0
599	Node5	2	dev[5]=net(2,5-12)	OutInterests	5192	259.254
599	Node5	2	dev[5]=net(2,5-12)	InNacks	0	0
599	Node5	2	dev[5]=net(2,5-12)	OutNacks	0	0
599	Node5	2	dev[5]=net(2,5-12)	InData	5192	5380.27
599	Node5	2	dev[5]=net(2,5-12)	OutData	0	0
599	Node5	3	dev[5]=net(3,5-13)	InInterests	0	0
599	Node5	3	dev[5]=net(3,5-13)	OutInterests	396	20.1768
599	Node5	3	dev[5]=net(3,5-13)	InNacks	0	0
599	Node5	3	dev[5]=net(3,5-13)	OutNacks	0	0
599	Node5	3	dev[5]=net(3,5-13)	InData	396	410.763
599	Node5	3	dev[5]=net(3,5-13)	OutData	0	0
599	Node5	4	dev[5]=net(4,11-5)	InInterests	4628	231.377
599	Node5	4	dev[5]=net(4,11-5)	OutInterests	0	0
599	Node5	4	dev[5]=net(4,11-5)	InNacks	0	0
599	Node5	4	dev[5]=net(4,11-5)	OutNacks	0	0
599	Node5	4	dev[5]=net(4,11-5)	InData	0	0
599	Node5	4	dev[5]=net(4,11-5)	OutData	4628	4796.1
599	Node6	0	dev[6]=net(0,5-6)	InInterests	1995	99.6572
599	Node6	0	dev[6]=net(0,5-6)	OutInterests	0	0
599	Node6	0	dev[6]=net(0,5-6)	InNacks	0	0
599	Node6	0	dev[6]=net(0,5-6)	OutNacks	0	0
599	Node6	0	dev[6]=net(0,5-6)	InData	0	0
599	Node6	0	dev[6]=net(0,5-6)	OutData	1995	2067.38
599	Node6	1	dev[6]=net(1,6-13)	InInterests	0	0
599	Node6	1	dev[6]=net(1,6-13)	OutInterests	960	48.0537
599	Node6	1	dev[6]=net(1,6-13)	InNacks	0	0
599	Node6	1	dev[6]=net(1,6-13)	OutNacks	0	0
599	Node6	1	dev[6]=net(1,6-13)	InData	960	994.929
599	Node6	1	dev[6]=net(1,6-13)	OutData	0	0
599	Node6	2	dev[6]=net(2,12-6)	InInterests	10287	518.661
599	Node6	2	dev[6]=net(2,12-6)	OutInterests	0	0
599	Node6	2	dev[6]=net(2,12-6)	InNacks	0	0
599	Node6	2	dev[6]=net(2,12-6)	OutNacks	0	0
599	Node6	2	dev[6]=net(2,12-6)	InData	0	0
599	Node6	2	dev[6]=net(2,12-6)	OutData	10287	10665
599	Node6	3	dev[6]=net(3,6-49)	InInterests	0	0
599	Node6	3	dev[6]=net(3,6-49)	OutInterests	11322	570.265
599	Node6	3	dev[6]=net(3,6-49)	InNacks	0	0
599	Node6	3	dev[6]=net(3,6-49)	OutNacks	0	0
599	Node6	3	dev[6]=net(3,6-49)	InData	11322	11737.5
599	Node6	3	dev[6]=net(3,6-49)	OutData	0	0
599	Node7	0	dev[7]=net(0,7-8)	InInterests	0	0
599	Node7	0	dev[7]=net(0,7-8)	OutInterests	20324	1015.07
599	Node7	0	dev[7]=net(0,7-8)	InNacks	0	0
599	Node7	0	dev[7]=net(0,7-8)	OutNacks	0	0
599	Node7	0	dev[7]=net(0,7-8)	InData	20246	20980.4
599	Node7	0	dev[7]=net(0,7-8)	OutData	0	0
599	Node7	2	dev[7]=net(2,7-14)	InInterests	0	0
599	Node7	2	dev[7]=net(2,7-14)	OutInterests	14076	703.611
599	Node7	2	dev[7]=net(2,7-14)	InNacks	0	0
599	Node7	2	dev[7]=net(2,7-14)	OutNacks	0	0
599	Node7	2	dev[7]=net(2,7-14)	InData	14014	14522.9
599	Node7	2	dev[7]=net(2,7-14)	OutData	0	0
599	Node7	3	dev[7]=net(3,7-15)	InInterests	0	0
599	Node7	3	dev[7]=net(3,7-15)	OutInterests	16539	826.815
599	Node7	3	dev[7]=net(3,7-15)	InNacks	0	0
599	Node7	3	dev[7]=net(3,7-15)	OutNacks	0	0
599	Node7	3	dev[7]=net(3,7-15)	InData	16481	17079.6
599	Node7	3	dev[7]=net(3,7-15)	OutData	0	0
599	Node7	4	dev[7]=net(4,7-1)	InInterests	0	0
599	Node7	4	dev[7]=net(4,7-1)	OutInterests	10840	541.401
599	Node7	4	dev[7]=net(4,7-1)	InNacks	0	0
599	Node7	4	dev[7]=net(4,7-1)	OutNacks	0	0
599	Node7	4	dev[7]=net(4,7-1)	InData	10811	11203.2
599	Node7	4	dev[7]=net(4,7-1)	OutData	0	0
599	Node7	5	dev=local(5)	InInterests	63067	3151.27
599	Node7	5	dev=local(5)	OutInterests	0	0
599	Node7	5	dev=local(5)	InNacks	0	0
599	Node7	5	dev=local(5)	OutNacks	0	0
599	Node7	5	dev=local(5)	InData	0	0
599	Node7	5	dev=local(5)	OutData	60497	62692.8
599	Node8	0	dev[8]=net(0,7-8)	InInterests	20324	1015.07
599	Node8	0	dev[8]=net(0,7-8)	OutInterests	0	0
599	Node8	0	dev[8]=net(0,7-8)	InNacks	0	0
599	Node8	0	dev[8]=net(0,7-8)	OutNacks	0	0
599	Node8	0	dev[8]=net(0,7-8)	InData	0	0
599	Node8	0	dev[8]=net(0,7-8)	OutData	20246	20980.4
599	Node8	1	dev[8]=net(1,8-9)	InInterests	0	0
599	Node8	1	dev[8]=net(1,8-9)	OutInterests	7699	384.518
599	Node8	1	dev[8]=net(1,8-9)	InNacks	0	0
599	Node8	1	dev[8]=net(1,8-9)	OutNacks	0	0
599	Node8	1	dev[8]=net(1,8-9)	InData	7688	7966.86
599	Node8	1	dev[8]=net(1,8-9)	OutData	0	0
599	Node8	2	dev[8]=net(2,1-8)	InInterests	206	10.3359
599	Node8	2	dev[8]=net(2,1-8)	OutInterests	0	0
599	Node8	2	dev[8]=net(2,1-8)	InNacks	0	0
599	Node8	2	dev[8]=net(2,1-8)	OutNacks	0	0
599	Node8	2	dev[8]=net(2,1-8)	InData	0	0
599	Node8	2	dev[8]=net(2,1-8)	OutData	206	213.52
599	Node8	3	dev[8]=net(3,8-15)	InInterests	0	0
599	Node8	3	dev[8]=net(3,8-15)	OutInterests	1694	84.6143
599	Node8	3	dev[8]=net(3,8-15)	InNacks	0	0
599	Node8	3	dev[8]=net(3,8-15)	OutNacks	0	0
599	Node8	3	dev[8]=net(3,8-15)	InData	1690	1751.31
599	Node8	3	dev[8]=net(3,8-15)	OutData	0	0
599	Node8	4	dev[8]=net(4,8-16)	InInterests	0	0
599	Node8	4	dev[8]=net(4,8-16)	OutInterests	8097	404.608
599	Node8	4	dev[8]=net(4,8-16)	InNacks	0	0
599	Node8	4	dev[8]=net(4,8-16)	OutNacks	0	0
599	Node8	4	dev[8]=net(4,8-16)	InData	8078	8371.22
599	Node8	4	dev[8]=net(4,8-16)	OutData	0	0
599	Node8	6	dev[8]=net(6,14-8)	InInterests	635	31.6738
599	Node8	6	dev[8]=net(6,14-8)	OutInterests	0	0
599	Node8	6	dev[8]=net(6,14-8)	InNacks	0	0
599	Node8	6	dev[8]=net(6,14-8)	OutNacks	0	0
599	Node8	6	dev[8]=net(6,14-8)	InData	0	0
599	Node8	6	dev[8]=net(6,14-8)	OutData	629	651.775
599	Node8	7	dev[8]=net(7,8-2)	InInterests	0	0
599	Node8	7	dev[8]=net(7,8-2)	OutInterests	3589	179.051
599	Node8	7	dev[8]=net(7,8-2)	InNacks	0	0
599	Node8	7	dev[8]=net(7,8-2)	OutNacks	0	0
599	Node8	7	dev[8]=net(7,8-2)	InData	3585	3714.84
599	Node8	7	dev[8]=net(7,8-2)	OutData	0	0
599	Node9	0	dev[9]=net(0,8-9)	InInterests	7699	384.518
599	Node9	0	dev[9]=net(0,8-9)	OutInterests	0	0
599	Node9	0	dev[9]=net(0,8-9)	InNacks	0	0
599	Node9	0	dev[9]=net(0,8-9)	OutNacks	0	0
599	Node9	0	dev[9]=net(0,8-9)	InData	0	0
599	Node9	0	dev[9]=net(0,8-9)	OutData	7688	7966.86
599	Node9	1	dev[9]=net(1,9-10)	InInterests	0	0
599	Node9	1	dev[9]=net(1,9-10)	OutInterests	4711	235.684
599	Node9	1	dev[9]=net(1,9-10)	InNacks	0	0
599	Node9	1	dev[9]=net(1,9-10)	OutNacks	0	0
599	Node9	1	dev[9]=net(1,9-10)	InData	4708	4879.17
599	Node9	1	dev[9]=net(1,9-10)	OutData	0	0
599	Node9	2	dev[9]=net(2,2-9)	InInterests	3545	176.832
599	Node9	2	dev[9]=net(2,2-9)	OutInterests	0	0
599	Node9	2	dev[9]=net(2,2-9)	InNacks	0	0
599	Node9	2	dev[9]=net(2,2-9)	OutNacks	0	0
599	Node9	2	dev[9]=net(2,2-9)	InData	0	0
599	Node9	2	dev[9]=net(2,2-9)	OutData	3541	3669.22
599	Node9	3	dev[9]=net(3,9-16)	InInterests	0	0
599	Node9	3	dev[9]=net(3,9-16)	OutInterests	582	29.0146
599	Node9	3	dev[9]=net(3,9-16)	InNacks	0	0
599	Node9	3	dev[9]=net(3,9-16)	OutNacks	0	0
599	Node9	3	dev[9]=net(3,9-16)	InData	582	603.058
599	Node9	3	dev[9]=net(3,9-16)	OutData	0	0
599	Node9	4	dev[9]=net(4,9-17)	InInterests	0	0
599	Node9	4	dev[9]=net(4,9-17)	OutInterests	10703	536.758
599	Node9	4	dev[9]=net(4,9-17)	InNacks	0	0
599	Node9	4	dev[9]=net(4,9-17)	OutNacks	0	0
599	Node9	4	dev[9]=net(4,9-17)	InData	10672	11061.3
599	Node9	4	dev[9]=net(4,9-17)	OutData	0	0
599	Node9	5	dev[9]=net(5,1-9)	InInterests	5412	270.487
599	Node9	5	dev[9]=net(5,1-9)	OutInterests	0	0
599	Node9	5	dev[9]=net(5,1-9)	InNacks	0	0
599	Node9	5	dev[9]=net(5,1-9)	OutNacks	0	0
599	Node9	5	dev[9]=net(5,1-9)	InData	0	0
599	Node9	5	dev[9]=net(5,1-9)	OutData	5388	5583.63
599	Node9	6	dev[9]=net(6,15-9)	InInterests	6626	334.579
599	Node9	6	dev[9]=net(6,15-9)	OutInterests	0	0
599	Node9	6	dev[9]=net(6,15-9)	InNacks	0	0
599	Node9	6	dev[9]=net(6,15-9)	OutNacks	0	0
599	Node9	6	dev[9]=net(6,15-9)	InData	0	0
599	Node9	6	dev[9]=net(6,15-9)	OutData	6613	6856.51
599	Node9	7	dev[9]=net(7,9-3)	InInterests	0	0
599	Node9	7	dev[9]=net(7,9-3)	OutInterests	7099	355.624
599	Node9	7	dev[9]=net(7,9-3)	InNacks	0	0
599	Node9	7	dev[9]=net(7,9-3)	OutNacks	0	0
599	Node9	7	dev[9]=net(7,9-3)	InData	7093	7351.35
599	Node9	7	dev[9]=net(7,9-3)	OutData	0	0
599	Node10	0	dev[10]=net(0,9-10)	InInterests	4711	235.684
599	Node10	0	dev[10]=net(0,9-10)	OutInterests	0	0
599	Node10	0	dev[10]=net(0,9-10)	InNacks	0	0
599	Node10	0	dev[10]=net(0,9-10)	OutNacks	0	0
599	Node10	0	dev[10]=net(0,9-10)	InData	0	0
599	Node10	0	dev[10]=net(0,9-10)	OutData	4708	4879.17
599	Node10	1	dev[10]=net(1,10-11)	InInterests	0	0
599	Node10	1	dev[10]=net(1,10-11)	OutInterests	4078	204.346
599	Node10	1	dev[10]=net(1,10-11)	InNacks	0	0
599	Node10	1	dev[10]=net(1,10-11)	OutNacks	0	0
599	Node10	1	dev[10]=net(1,10-11)	InData	4074	4222.45
599	Node10	1	dev[10]=net(1,10-11)	OutData	0	0
599	Node10	2	dev[10]=net(2,3-10)	InInterests	5177	258.333
599	Node10	2	dev[10]=net(2,3-10)	OutInterests	0	0
599	Node10	2	dev[10]=net(2,3-10)	InNacks	0	0
599	Node10	2	dev[10]=net(2,3-10)	OutNacks	0	0
599	Node10	2	dev[10]=net(2,3-10)	InData	0	0
599	Node10	2	dev[10]=net(2,3-10)	OutData	5173	5360.41
599	Node10	3	dev[10]=net(3,10-17)	InInterests	0	0
599	Node10	3	dev[10]=net(3,10-17)	OutInterests	6716	335.324
599	Node10	3	dev[10]=net(3,10-17)	InNacks	0	0
599	Node10	3	dev[10]=net(3,10-17)	OutNacks	0	0
599	Node10	3	dev[10]=net(3,10-17)	InData	6712	6955.36
599	Node10	3	dev[10]=net(3,10-17)	OutData	0	0
599	Node10	4	dev[10]=net(4,10-18)	InInterests	0	0
599	Node10	4	dev[10]=net(4,10-18)	OutInterests	14534	736.299
599	Node10	4	dev[10]=net(4,10-18)	InNacks	0	0
599	Node10	4	dev[10]=net(4,10-18)	OutNacks	0	0
599	Node10	4	dev[10]=net(4,10-18)	InData	14525	15062.3
599	Node10	4	dev[10]=net(4,10-18)	OutData	0	0
599	Node10	5	dev[10]=net(5,2-10)	InInterests	43	2.16895
599	Node10	5	dev[10]=net(5,2-10)	OutInterests	0	0
599	Node10	5	dev[10]=net(5,2-10)	InNacks	0	0
599	Node10	5	dev[10]=net(5,2-10)	OutNacks	0	0
599	Node10	5	dev[10]=net(5,2-10)	InData	0	0
599	Node10	5	dev[10]=net(5,2-10)	OutData	43	44.5811
599	Node10	6	dev[10]=net(6,16-10)	InInterests	25743	1301.41
599	Node10	6	dev[10]=net(6,16-10)	OutInterests	0	0
599	Node10	6	dev[10]=net(6,16-10)	InNacks	0	0
599	Node10	6	dev[10]=net(6,16-10)	OutNacks	0	0
599	Node10	6	dev[10]=net(6,16-10)	InData	0	0
599	Node10	6	dev[10]=net(6,16-10)	OutData	25728	26676.9
599	Node10	7	dev[10]=net(7,10-4)	InInterests	0	0
599	Node10	7	dev[10]=net(7,10-4)	OutInterests	10291	518.862
599	Node10	7	dev[10]=net(7,10-4)	InNacks	0	0
599	Node10	7	dev[10]=net(7,10-4)	OutNacks	0	0
599	Node10	7	dev[10]=net(7,10-4)	InData	10290	10668.1
599	Node10	7	dev[10]=net(7,10-4)	OutData	0	0
599	Node11	0	dev[11]=net(0,10-11)	InInterests	4078	204.346
599	Node11	0	dev[11]=net(0,10-11)	OutInterests	0	0
599	Node11	0	dev[11]=net(0,10-11)	InNacks	0	0
599	Node11	0	dev[11]=net(0,10-11)	OutNacks	0	0
599	Node11	0	dev[11]=net(0,10-11)	InData	0	0
599	Node11	0	dev[11]=net(0,10-11)	OutData	4074	4222.45
599	Node11	1	dev[11]=net(1,11-12)	InInterests	0	0
599	Node11	1	dev[11]=net(1,11-12)	OutInterests	12134	611.854
599	Node11	1	dev[11]=net(1,11-12)	InNacks	0	0
599	Node11	1	dev[11]=net(1,11-12)	OutNacks	0	0
599	Node11	1	dev[11]=net(1,11-12)	InData	12129	12574.8
599	Node11	1	dev[11]=net(1,11-12)	OutData	0	0
599	Node11	2	dev[11]=net(2,4-11)	InInterests	11297	568.726
599	Node11	2	dev[11]=net(2,4-11)	OutInterests	0	0
599	Node11	2	dev[11]=net(2,4-11)	InNacks	0	0
599	Node11	2	dev[11]=net(2,4-11)	OutNacks	0	0
599	Node11	2	dev[11]=net(2,4-11)	InData	0	0
599	Node11	2	dev[11]=net(2,4-11)	OutData	11296	11710.2
599	Node11	3	dev[11]=net(3,11-18)	InInterests	0	0
599	Node11	3	dev[11]=net(3,11-18)	OutInterests	1734	88.4648
599	Node11	3	dev[11]=net(3,11-18)	InNacks	0	0
599	Node11	3	dev[11]=net(3,11-18)	OutNacks	0	0
599	Node11	3	dev[11]=net(3,11-18)	InData	1732	1796.68
599	Node11	3	dev[11]=net(3,11-18)	OutData	0	0
599	Node11	4	dev[11]=net(4,11-19)	InInterests	0	0
599	Node11	4	dev[11]=net(4,11-19)	OutInterests	22091	1109.71
599	Node11	4	dev[11]=net(4,11-19)	InNacks	0	0
599	Node11	4	dev[11]=net(4,11-19)	OutNacks	0	0
599	Node11	4	dev[11]=net(4,11-19)	InData	22070	22876.9
599	Node11	4	dev[11]=net(4,11-19)	OutData	0	0
599	Node11	5	dev[11]=net(5,3-11)	InInterests	3132	157.748
599	Node11	5	dev[11]=net(5,3-11)	OutInterests	0	0
599	Node11	5	dev[11]=net(5,3-11)	InNacks	0	0
599	Node11	5	dev[11]=net(5,3-11)	OutNacks	0	0
599	Node11	5	dev[11]=net(5,3-11)	InData	0	0
599	Node11	5	dev[11]=net(5,3-11)	OutData	3127	3241.75
599	Node11	6	dev[11]=net(6,17-11)	InInterests	22108	1111.99
599	Node11	6	dev[11]=net(6,17-11)	OutInterests	0	0
599	Node11	6	dev[11]=net(6,17-11)	InNacks	0	0
599	Node11	6	dev[11]=net(6,17-11)	OutNacks	0	0
599	Node11	6	dev[11]=net(6,17-11)	InData	0	0
599	Node11	6	dev[11]=net(6,17-11)	OutData	22070	22878.3
599	Node11	7	dev[11]=net(7,11-5)	InInterests	0	0
599	Node11	7	dev[11]=net(7,11-5)	OutInterests	4628	231.377
599	Node11	7	dev[11]=net(7,11-5)	InNacks	0	0
599	Node11	7	dev[11]=net(7,11-5)	OutNacks	0	0
599	Node11	7	dev[11]=net(7,11-5)	InData	4628	4796.1
599	Node11	7	dev[11]=net(7,11-5)	OutData	0	0
599	Node12	0	dev[12]=net(0,11-12)	InInterests	12134	611.854
599	Node12	0	dev[12]=net(0,11-12)	OutInterests	0	0
599	Node12	0	dev[12]=net(0,11-12)	InNacks	0	0
599	Node12	0	dev[12]=net(0,11-12)	OutNacks	0	0
599	Node12	0	dev[12]=net(0,11-12)	InData	0	0
599	Node12	0	dev[12]=net(0,11-12)	OutData	12129	12574.8
599	Node12	1	dev[12]=net(1,12-13)	InInterests	0	0
599	Node12	1	dev[12]=net(1,12-13)	OutInterests	6074	308.833
599	Node12	1	dev[12]=net(1,12-13)	InNacks	0	0
599	Node12	1	dev[12]=net(1,12-13)	OutNacks	0	0
599	Node12	1	dev[12]=net(1,12-13)	InData	6073	6298.75
599	Node12	1	dev[12]=net(1,12-13)	OutData	0	0
599	Node12	2	dev[12]=net(2,5-12)	InInterests	5192	259.254
599	Node12	2	dev[12]=net(2,5-12)	OutInterests	0	0
599	Node12	2	dev[12]=net(2,5-12)	InNacks	0	0
599	Node12	2	dev[12]=net(2,5-12)	OutNacks	0	0
599	Node12	2	dev[12]=net(2,5-12)	InData	0	0
599	Node12	2	dev[12]=net(2,5-12)	OutData	5192	5380.27
599	Node12	3	dev[12]=net(3,12-19)	InInterests	0	0
599	Node12	3	dev[12]=net(3,12-19)	OutInterests	6571	333.214
599	Node12	3	dev[12]=net(3,12-19)	InNacks	0	0
599	Node12	3	dev[12]=net(3,12-19)	OutNacks	0	0
599	Node12	3	dev[12]=net(3,12-19)	InData	6566	6809.2
599	Node12	3	dev[12]=net(3,12-19)	OutData	0	0
599	Node12	4	dev[12]=net(4,12-20)	InInterests	0	0
599	Node12	4	dev[12]=net(4,12-20)	OutInterests	6266	314.188
599	Node12	4	dev[12]=net(4,12-20)	InNacks	0	0
599	Node12	4	dev[12]=net(4,12-20)	OutNacks	0	0
599	Node12	4	dev[12]=net(4,12-20)	InData	6266	6494.52
599	Node12	4	dev[12]=net(4,12-20)	OutData	0	0
599	Node12	6	dev[12]=net(6,12-6)	InInterests	0	0
599	Node12	6	dev[12]=net(6,12-6)	OutInterests	10287	518.661
599	Node12	6	dev[12]=net(6,12-6)	InNacks	0	0
599	Node12	6	dev[12]=net(6,12-6)	OutNacks	0	0
