???Consumer setting starts7	contentNum: 695	timeTemp: 60.094, contentTotal: 0, avg comp time: 60.094
35	contentNum: 4	timeTemp: 64.5934, contentTotal: 0, avg comp time: 64.5934
7	contentNum: 142	timeTemp: 32.7423, contentTotal: 1, avg comp time: 46.4182
35	contentNum: 56	timeTemp: 45.3759, contentTotal: 1, avg comp time: 54.9847
7	contentNum: 343	timeTemp: 46.4, contentTotal: 2, avg comp time: 46.4121
35	contentNum: 14	timeTemp: 71.2519, contentTotal: 2, avg comp time: 60.4071
7	contentNum: 2	timeTemp: 50.0667, contentTotal: 3, avg comp time: 47.3258
0	contentNum: 304	timeTemp: 225.418, contentTotal: 0, avg comp time: 225.418
35	contentNum: 10	timeTemp: 41.2367, contentTotal: 3, avg comp time: 55.6145
42	contentNum: 11	timeTemp: 232.374, contentTotal: 0, avg comp time: 232.374
7	contentNum: 3	timeTemp: 60.8321, contentTotal: 4, avg comp time: 50.027
35	contentNum: 15	timeTemp: 46.6655, contentTotal: 4, avg comp time: 53.8247
7	contentNum: 20	timeTemp: 56.6321, contentTotal: 5, avg comp time: 51.1279
35	contentNum: 6	timeTemp: 60.6967, contentTotal: 5, avg comp time: 54.97
7	contentNum: 340	timeTemp: 40.0712, contentTotal: 6, avg comp time: 49.5483
35	contentNum: 14	timeTemp: 54.9078, contentTotal: 6, avg comp time: 54.9611
7	contentNum: 689	timeTemp: 47.8957, contentTotal: 7, avg comp time: 49.3418
35	contentNum: 3	timeTemp: 37.5956, contentTotal: 7, avg comp time: 52.7904
7	contentNum: 1	timeTemp: 39.6699, contentTotal: 8, avg comp time: 48.2671
35	contentNum: 37	timeTemp: 42.6355, contentTotal: 8, avg comp time: 51.6621
0	contentNum: 77	timeTemp: 264.013, contentTotal: 1, avg comp time: 244.716
35	contentNum: 12	timeTemp: 47.7378, contentTotal: 9, avg comp time: 51.2697
7	contentNum: 10	timeTemp: 74.4797, contentTotal: 9, avg comp time: 50.8884
14	contentNum: 110	timeTemp: 526.689, contentTotal: 0, avg comp time: 526.689
42	contentNum: 7	timeTemp: 303.959, contentTotal: 1, avg comp time: 268.167
35	contentNum: 335	timeTemp: 33.1264, contentTotal: 10, avg comp time: 49.6203
7	contentNum: 49	timeTemp: 59.9363, contentTotal: 10, avg comp time: 51.7109
35	contentNum: 2	timeTemp: 61.5169, contentTotal: 11, avg comp time: 50.6117
28	contentNum: 153	timeTemp: 622.073, contentTotal: 0, avg comp time: 622.073
35	contentNum: 15	timeTemp: 34.0254, contentTotal: 12, avg comp time: 49.3358
7	contentNum: 2	timeTemp: 56.7555, contentTotal: 11, avg comp time: 52.1313
0	contentNum: 37	timeTemp: 202.502, contentTotal: 2, avg comp time: 230.644
35	contentNum: 1	timeTemp: 67.9082, contentTotal: 13, avg comp time: 50.6624
7	contentNum: 101	timeTemp: 44.7772, contentTotal: 12, avg comp time: 51.5656
35	contentNum: 142	timeTemp: 44.545, contentTotal: 14, avg comp time: 50.2546
7	contentNum: 5	timeTemp: 52.5232, contentTotal: 13, avg comp time: 51.634
35	contentNum: 137	timeTemp: 39.1269, contentTotal: 15, avg comp time: 49.5591
7	contentNum: 130	timeTemp: 68.6766, contentTotal: 14, avg comp time: 52.7702
35	contentNum: 11	timeTemp: 43.2989, contentTotal: 16, avg comp time: 49.1909
42	contentNum: 3	timeTemp: 326.065, contentTotal: 2, avg comp time: 287.466
35	contentNum: 43	timeTemp: 47.8288, contentTotal: 17, avg comp time: 49.1152
7	contentNum: 702	timeTemp: 60.9098, contentTotal: 15, avg comp time: 53.2789
7	contentNum: 4	timeTemp: 45.7854, contentTotal: 16, avg comp time: 52.8381
35	contentNum: 182	timeTemp: 56.1726, contentTotal: 18, avg comp time: 49.4866
7	contentNum: 674	timeTemp: 42.7252, contentTotal: 17, avg comp time: 52.2763
35	contentNum: 157	timeTemp: 52.3059, contentTotal: 19, avg comp time: 49.6276
14	contentNum: 163	timeTemp: 501.534, contentTotal: 1, avg comp time: 514.111
0	contentNum: 17	timeTemp: 331.832, contentTotal: 3, avg comp time: 255.941
7	contentNum: 67	timeTemp: 47.6656, contentTotal: 18, avg comp time: 52.0336
28	contentNum: 46	timeTemp: 437.259, contentTotal: 1, avg comp time: 529.666
35	contentNum: 544	timeTemp: 70.3623, contentTotal: 20, avg comp time: 50.615
7	contentNum: 356	timeTemp: 49.6294, contentTotal: 19, avg comp time: 51.9134
42	contentNum: 17	timeTemp: 271.476, contentTotal: 3, avg comp time: 283.468
35	contentNum: 7	timeTemp: 66.0029, contentTotal: 21, avg comp time: 51.3144
7	contentNum: 9	timeTemp: 51.4884, contentTotal: 20, avg comp time: 51.8932
7	contentNum: 273	timeTemp: 50.6076, contentTotal: 21, avg comp time: 51.8347
35	contentNum: 8	timeTemp: 52.6005, contentTotal: 22, avg comp time: 51.3703
7	contentNum: 1	timeTemp: 23.8342, contentTotal: 22, avg comp time: 50.6173
35	contentNum: 620	timeTemp: 52.7327, contentTotal: 23, avg comp time: 51.4271
0	contentNum: 16	timeTemp: 251.26, contentTotal: 4, avg comp time: 255.005
7	contentNum: 195	timeTemp: 50.9127, contentTotal: 23, avg comp time: 50.6296
35	contentNum: 14	timeTemp: 59.72, contentTotal: 24, avg comp time: 51.7588
7	contentNum: 550	timeTemp: 44.4416, contentTotal: 24, avg comp time: 50.3821
7	contentNum: 40	timeTemp: 42.5905, contentTotal: 25, avg comp time: 50.0824
35	contentNum: 459	timeTemp: 47.9432, contentTotal: 25, avg comp time: 51.6121
35	contentNum: 36	timeTemp: 45.8817, contentTotal: 26, avg comp time: 51.3998
7	contentNum: 114	timeTemp: 53.2448, contentTotal: 26, avg comp time: 50.1996
42	contentNum: 3	timeTemp: 320.82, contentTotal: 4, avg comp time: 290.939
7	contentNum: 975	timeTemp: 40.0002, contentTotal: 27, avg comp time: 49.8353
35	contentNum: 124	timeTemp: 58.7675, contentTotal: 27, avg comp time: 51.663
7	contentNum: 4	timeTemp: 26.83, contentTotal: 28, avg comp time: 49.042
35	contentNum: 416	timeTemp: 41.9614, contentTotal: 28, avg comp time: 51.3284
7	contentNum: 5	timeTemp: 68.0601, contentTotal: 29, avg comp time: 49.6759
35	contentNum: 174	timeTemp: 48.7633, contentTotal: 29, avg comp time: 51.2429
0	contentNum: 285	timeTemp: 298.581, contentTotal: 5, avg comp time: 262.268
7	contentNum: 6	timeTemp: 38.445, contentTotal: 30, avg comp time: 49.3136
14	contentNum: 22	timeTemp: 572.534, contentTotal: 2, avg comp time: 533.586
7	contentNum: 19	timeTemp: 1023.33, contentTotal: 31, avg comp time: 79.7518
