???Consumer setting starts35	timeTemp: 31.8267, contentTotal: 0, avg comp time: 31.8267
42	timeTemp: 31.8353, contentTotal: 0, avg comp time: 31.8353
0	timeTemp: 31.8421, contentTotal: 0, avg comp time: 31.8421
7	timeTemp: 31.8421, contentTotal: 0, avg comp time: 31.8421
14	timeTemp: 31.8421, contentTotal: 0, avg comp time: 31.8421
28	timeTemp: 31.8421, contentTotal: 0, avg comp time: 31.8421
28	timeTemp: 31.8345, contentTotal: 1, avg comp time: 31.8383
42	timeTemp: 31.8283, contentTotal: 1, avg comp time: 31.8318
35	timeTemp: 31.8342, contentTotal: 1, avg comp time: 31.8304
0	timeTemp: 31.8492, contentTotal: 1, avg comp time: 31.8456
7	timeTemp: 31.8422, contentTotal: 1, avg comp time: 31.8422
14	timeTemp: 31.8567, contentTotal: 1, avg comp time: 31.8494
42	timeTemp: 31.8275, contentTotal: 2, avg comp time: 31.8303
35	timeTemp: 31.8494, contentTotal: 2, avg comp time: 31.8368
28	timeTemp: 31.843, contentTotal: 2, avg comp time: 31.8399
14	timeTemp: 31.8507, contentTotal: 2, avg comp time: 31.8498
0	timeTemp: 31.8502, contentTotal: 2, avg comp time: 31.8472
7	timeTemp: 31.8574, contentTotal: 2, avg comp time: 31.8472
35	timeTemp: 31.8504, contentTotal: 3, avg comp time: 31.8402
42	timeTemp: 31.8501, contentTotal: 3, avg comp time: 31.8353
14	timeTemp: 31.8282, contentTotal: 3, avg comp time: 31.8444
28	timeTemp: 31.8569, contentTotal: 3, avg comp time: 31.8441
0	timeTemp: 31.8506, contentTotal: 3, avg comp time: 31.848
7	timeTemp: 31.8431, contentTotal: 3, avg comp time: 31.8462
35	timeTemp: 31.8345, contentTotal: 4, avg comp time: 31.839
42	timeTemp: 31.8272, contentTotal: 4, avg comp time: 31.8337
28	timeTemp: 31.2487, contentTotal: 4, avg comp time: 31.725
0	timeTemp: 30.5108, contentTotal: 4, avg comp time: 31.5806
14	timeTemp: 31.8506, contentTotal: 4, avg comp time: 31.8457
7	timeTemp: 31.8431, contentTotal: 4, avg comp time: 31.8456
35	timeTemp: 31.8429, contentTotal: 5, avg comp time: 31.8397
42	timeTemp: 31.8575, contentTotal: 5, avg comp time: 31.8376
28	timeTemp: 31.8578, contentTotal: 5, avg comp time: 31.7472
0	timeTemp: 31.8422, contentTotal: 5, avg comp time: 31.6242
14	timeTemp: 31.8571, contentTotal: 5, avg comp time: 31.8476
7	timeTemp: 31.8501, contentTotal: 5, avg comp time: 31.8464
35	timeTemp: 31.8504, contentTotal: 6, avg comp time: 31.8412
0	timeTemp: 31.8278, contentTotal: 6, avg comp time: 31.6533
28	timeTemp: 31.8426, contentTotal: 6, avg comp time: 31.7608
42	timeTemp: 31.8424, contentTotal: 6, avg comp time: 31.8383
14	timeTemp: 31.8569, contentTotal: 6, avg comp time: 31.8489
7	timeTemp: 31.8574, contentTotal: 6, avg comp time: 31.8479
28	timeTemp: 30.1538, contentTotal: 7, avg comp time: 31.5599
0	timeTemp: 31.8498, contentTotal: 7, avg comp time: 31.6778
14	timeTemp: 31.8506, contentTotal: 7, avg comp time: 31.8491
42	timeTemp: 31.8492, contentTotal: 7, avg comp time: 31.8397
35	timeTemp: 31.8429, contentTotal: 7, avg comp time: 31.8414
7	timeTemp: 31.8574, contentTotal: 7, avg comp time: 31.8491
28	timeTemp: 31.8418, contentTotal: 8, avg comp time: 31.5912
0	timeTemp: 31.8412, contentTotal: 8, avg comp time: 31.696
42	timeTemp: 31.8267, contentTotal: 8, avg comp time: 31.8382
14	timeTemp: 31.8496, contentTotal: 8, avg comp time: 31.8492
35	timeTemp: 31.834, contentTotal: 8, avg comp time: 31.8406
7	timeTemp: 31.8434, contentTotal: 8, avg comp time: 31.8485
28	timeTemp: 31.8421, contentTotal: 9, avg comp time: 31.6163
0	timeTemp: 31.8505, contentTotal: 9, avg comp time: 31.7114
14	timeTemp: 31.8503, contentTotal: 9, avg comp time: 31.8493
35	timeTemp: 31.835, contentTotal: 9, avg comp time: 31.84
42	timeTemp: 31.8283, contentTotal: 9, avg comp time: 31.8372
7	timeTemp: 31.8342, contentTotal: 9, avg comp time: 31.8471
35	timeTemp: 30.39, contentTotal: 10, avg comp time: 31.7082
28	timeTemp: 31.8566, contentTotal: 10, avg comp time: 31.6382
0	timeTemp: 31.8422, contentTotal: 10, avg comp time: 31.7233
14	timeTemp: 31.8577, contentTotal: 10, avg comp time: 31.85
42	timeTemp: 31.8507, contentTotal: 10, avg comp time: 31.8385
7	timeTemp: 31.8504, contentTotal: 10, avg comp time: 31.8474
35	timeTemp: 31.8273, contentTotal: 11, avg comp time: 31.7181
14	timeTemp: 31.8493, contentTotal: 11, avg comp time: 31.85
0	timeTemp: 31.8345, contentTotal: 11, avg comp time: 31.7326
28	timeTemp: 31.843, contentTotal: 11, avg comp time: 31.6552
42	timeTemp: 31.8422, contentTotal: 11, avg comp time: 31.8388
7	timeTemp: 31.8352, contentTotal: 11, avg comp time: 31.8464
35	timeTemp: 31.8338, contentTotal: 12, avg comp time: 31.727
14	timeTemp: 31.8502, contentTotal: 12, avg comp time: 31.85
0	timeTemp: 31.8267, contentTotal: 12, avg comp time: 31.7398
28	timeTemp: 31.8448, contentTotal: 12, avg comp time: 31.6698
42	timeTemp: 31.8342, contentTotal: 12, avg comp time: 31.8384
7	timeTemp: 31.2643, contentTotal: 12, avg comp time: 31.8016
14	timeTemp: 31.8503, contentTotal: 13, avg comp time: 31.85
28	timeTemp: 31.8571, contentTotal: 13, avg comp time: 31.6832
0	timeTemp: 31.8423, contentTotal: 13, avg comp time: 31.7471
42	timeTemp: 31.8426, contentTotal: 13, avg comp time: 31.8387
35	timeTemp: 31.8273, contentTotal: 13, avg comp time: 31.7342
7	timeTemp: 31.842, contentTotal: 13, avg comp time: 31.8045
14	timeTemp: 31.8491, contentTotal: 14, avg comp time: 31.85
