Path delete. m_index: 0, deleted path: 49, deletedWindow: 10, totalWindow: 1644, m_inFlight[]: 10, totalInFlight: 1703, m_pathWindow:  63
BranchIndex: 0, m_window[]: 53, m_inFlight[]: 53
BranchIndex: 1, m_window[]: 11, m_inFlight[]: 11
BranchIndex: 2, m_window[]: 57, m_inFlight[]: 57
BranchIndex: 3, m_window[]: 57, m_inFlight[]: 57
BranchIndex: 4, m_window[]: 65, m_inFlight[]: 65
BranchIndex: 5, m_window[]: 7, m_inFlight[]: 23
BranchIndex: 6, m_window[]: 60, m_inFlight[]: 60
BranchIndex: 7, m_window[]: 55, m_inFlight[]: 55
BranchIndex: 8, m_window[]: 56, m_inFlight[]: 56
BranchIndex: 9, m_window[]: 28, m_inFlight[]: 28
BranchIndex: 10, m_window[]: 32, m_inFlight[]: 32
BranchIndex: 11, m_window[]: 25, m_inFlight[]: 25
BranchIndex: 12, m_window[]: 24, m_inFlight[]: 24
BranchIndex: 13, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 14, m_window[]: 18, m_inFlight[]: 18
BranchIndex: 15, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 16, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 17, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 18, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 19, m_window[]: 46, m_inFlight[]: 46
BranchIndex: 20, m_window[]: 22, m_inFlight[]: 22
BranchIndex: 21, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 22, m_window[]: 4, m_inFlight[]: 4
BranchIndex: 23, m_window[]: 46, m_inFlight[]: 46
BranchIndex: 24, m_window[]: 1, m_inFlight[]: 1
BranchIndex: 25, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 26, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 27, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 28, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 29, m_window[]: 4, m_inFlight[]: 4
BranchIndex: 30, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 31, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 32, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 33, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 34, m_window[]: 21, m_inFlight[]: 21
BranchIndex: 35, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 36, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 37, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 38, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 39, m_window[]: 27, m_inFlight[]: 27
BranchIndex: 40, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 41, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 42, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 43, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 44, m_window[]: 59, m_inFlight[]: 59
BranchIndex: 45, m_window[]: 1, m_inFlight[]: 27
BranchIndex: 46, m_window[]: 40, m_inFlight[]: 40
BranchIndex: 47, m_window[]: 22, m_inFlight[]: 22
BranchIndex: 48, m_window[]: 66, m_inFlight[]: 66
BranchIndex: 49, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 50, m_window[]: 44, m_inFlight[]: 44
BranchIndex: 51, m_window[]: 11, m_inFlight[]: 11
BranchIndex: 52, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 53, m_window[]: 6, m_inFlight[]: 10
BranchIndex: 54, m_window[]: 37, m_inFlight[]: 37
BranchIndex: 55, m_window[]: 36, m_inFlight[]: 36
BranchIndex: 56, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 57, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 58, m_window[]: 4, m_inFlight[]: 4
BranchIndex: 59, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 60, m_window[]: 35, m_inFlight[]: 35
BranchIndex: 61, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 62, m_window[]: 48, m_inFlight[]: 48
BranchIndex: 63, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 64, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 65, m_window[]: 4, m_inFlight[]: 17
BranchIndex: 66, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 67, m_window[]: 26, m_inFlight[]: 26
BranchIndex: 68, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 69, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 70, m_window[]: 26, m_inFlight[]: 26
BranchIndex: 71, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 72, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 73, m_window[]: 1, m_inFlight[]: 1
BranchIndex: 74, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 75, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 76, m_window[]: 27, m_inFlight[]: 27
BranchIndex: 77, m_window[]: 2, m_inFlight[]: 2
BranchIndex: 78, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 79, m_window[]: 62, m_inFlight[]: 62
BranchIndex: 80, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 81, m_window[]: 18, m_inFlight[]: 18
BranchIndex: 82, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 83, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 84, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 85, m_window[]: 20, m_inFlight[]: 20
BranchIndex: 86, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 87, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 88, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 89, m_window[]: 10, m_inFlight[]: 10
BranchIndex: 90, m_window[]: 39, m_inFlight[]: 39
BranchIndex: 91, m_window[]: 34, m_inFlight[]: 34
BranchIndex: 92, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 93, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 94, m_window[]: 35, m_inFlight[]: 35
BranchIndex: 95, m_window[]: 0, m_inFlight[]: 0
sumOfWindow: 1644, totalWindow: 1644
0	7.432	contentNum: 10881	timeTemp: 6.232, contentTotal: 0, avg comp time: 6.232, m_totalWindow: 1999, sumOfWindow: 1999
0	14.799	contentNum: 862	timeTemp: 6.16703, contentTotal: 1, avg comp time: 6.19952, m_totalWindow: 2092, sumOfWindow: 2092
Path delete. m_index: 0, deleted path: 9, deletedWindow: 14, totalWindow: 1622, m_inFlight[]: 14, totalInFlight: 1668, m_pathWindow:  64
BranchIndex: 0, m_window[]: 57, m_inFlight[]: 57
BranchIndex: 1, m_window[]: 6, m_inFlight[]: 6
BranchIndex: 2, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 3, m_window[]: 13, m_inFlight[]: 13
BranchIndex: 4, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 5, m_window[]: 7, m_inFlight[]: 29
