Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	sub-1	0	dev[0]=net(0,0-7)	InInterests	0	0	0	0
1	sub-1	0	dev[0]=net(0,0-7)	OutInterests	8	0.273438	1	0.0341797
1	sub-1	0	dev[0]=net(0,0-7)	InNacks	0	0	0	0
1	sub-1	0	dev[0]=net(0,0-7)	OutNacks	0	0	0	0
1	sub-1	0	dev[0]=net(0,0-7)	InData	0	0	0	0
1	sub-1	0	dev[0]=net(0,0-7)	OutData	0	0	0	0
1	sub-1	1	dev=local(1)	InInterests	8	0.273438	1	0.0341797
1	sub-1	1	dev=local(1)	OutInterests	0	0	0	0
1	sub-1	1	dev=local(1)	InNacks	0	0	0	0
1	sub-1	1	dev=local(1)	OutNacks	0	0	0	0
1	sub-1	1	dev=local(1)	InData	0	0	0	0
1	sub-1	1	dev=local(1)	OutData	0	0	0	0
1.1	sub-1	0	dev[0]=net(0,0-7)	InInterests	0	0	0	0
1.1	sub-1	0	dev[0]=net(0,0-7)	OutInterests	129.6	4.42969	16	0.546875
1.1	sub-1	0	dev[0]=net(0,0-7)	InNacks	0	0	0	0
1.1	sub-1	0	dev[0]=net(0,0-7)	OutNacks	0	0	0	0
1.1	sub-1	0	dev[0]=net(0,0-7)	InData	64	66.75	8	8.34375
1.1	sub-1	0	dev[0]=net(0,0-7)	OutData	0	0	0	0
1.1	sub-1	1	dev=local(1)	InInterests	129.6	4.42969	16	0.546875
1.1	sub-1	1	dev=local(1)	OutInterests	0	0	0	0
1.1	sub-1	1	dev=local(1)	InNacks	0	0	0	0
1.1	sub-1	1	dev=local(1)	OutNacks	0	0	0	0
1.1	sub-1	1	dev=local(1)	InData	0	0	0	0
1.1	sub-1	1	dev=local(1)	OutData	64	66.75	8	8.34375
1.1	leaf-1	0	dev[1]=net(0,1-5)	InInterests	80	2.73438	10	0.341797
1.1	leaf-1	0	dev[1]=net(0,1-5)	OutInterests	0	0	0	0
1.1	leaf-1	0	dev[1]=net(0,1-5)	InNacks	0	0	0	0
1.1	leaf-1	0	dev[1]=net(0,1-5)	OutNacks	0	0	0	0
1.1	leaf-1	0	dev[1]=net(0,1-5)	InData	0	0	0	0
1.1	leaf-1	0	dev[1]=net(0,1-5)	OutData	80	83.4375	10	10.4297
1.1	leaf-1	1	dev=local(1)	InInterests	0	0	0	0
1.1	leaf-1	1	dev=local(1)	OutInterests	80	2.73438	10	0.341797
1.1	leaf-1	1	dev=local(1)	InNacks	0	0	0	0
1.1	leaf-1	1	dev=local(1)	OutNacks	0	0	0	0
1.1	leaf-1	1	dev=local(1)	InData	80	83.4375	10	10.4297
1.1	leaf-1	1	dev=local(1)	OutData	0	0	0	0
1.1	acc-1	0	dev[5]=net(0,1-5)	InInterests	0	0	0	0
1.1	acc-1	0	dev[5]=net(0,1-5)	OutInterests	136	4.64844	17	0.581055
